prediction	target	loss	dist
e n ď i s s i	e n ď i s s i	0.05199902504682541	0
n a i z õ s s i	n a i z õ s s i	0.05231379345059395	0
t š e v ä i n ä	t š e v ä i n ä	0.05831842124462128	0
t š ä s i	t š ä s i	0.05589158460497856	0
l u m t a	l u n t a	1.7072796821594238	1
ü i t	ü i t	0.05416969209909439	0
l i n t u u	l i n n u u	0.3745747208595276	1
a k k u n o i l	a k k u n o i l	0.054814983159303665	0
m ä t š i i k a	m ä t š i i k a	0.057522960007190704	0
s e p ä l t	s e p ä l t	0.05634216591715813	0
v a r õ h s õ õ	v a r õ h s õ s õ	0.9773076772689819	1
p ä i z	p ä i z	0.055790334939956665	0
a m p a a s õ s s a	a m p a a s õ s s a	0.05414010211825371	0
e n ď i l t	e n ď i l t	0.055449049919843674	0
s u õ s s	s u õ s s	0.054316312074661255	0
a m m a s s a	a m m a s s a	0.05708160996437073	0
k õ r v a a	k õ r v a s õ	0.8283483982086182	2
i l o z u u l t	i l o z u u l t	0.05575654283165932	0
p ä i v i i n ä	p ä i v i i n a	0.7711109519004822	1
õ ź ź a a	õ ź ź a a	0.056789904832839966	0
s i p u l i j e	s i p u l i j e	0.05533013865351677	0
v õ t t i m õ d	v õ t t i m õ d	0.055248700082302094	0
l i n t u z	l i n n u z	0.8765760660171509	1
p ä ď ď e	p ä ď ď e	0.05005696788430214	0
ü ü	ü ü	0.04996039345860481	0
t š e v ä i k a	t š e v ä ď ď e k a	0.4536525011062622	3
j a l g a a	j a l g a a	0.07065387070178986	0
o p õ z õ l l õ s s a	o p õ z õ l l õ s s a	0.05243845283985138	0
l a h s i j e k a	l a h s i j e k a	0.055685631930828094	0
s t a r u h i l l õ	s t a r u h i l l õ	0.05909091606736183	0
s e p ä l l	s e p ä l l	0.055801331996917725	0
a k k u n o i l õ s s a	a k k o n o i l õ s s a	0.9932045340538025	1
a i k o j e	a i k o j e	0.052750114351511	0
m ä t š i i t	m ä t š i i t	0.05785558000206947	0
n a i s i i n a	n a i s i i n a	0.054076194763183594	0
i t š i i k a	i t š i i k a	0.05655431002378464	0
p ä i l e	p ä i l e	0.05624976381659508	0
p ä i l e s s a	p ä i s e s s a	0.7165987491607666	1
v e z i s s i	v e z i s s i	0.05458070710301399	0
u h s õ l õ	u h s õ l õ	0.057763807475566864	0
t š ä e s s i	t š ä e s s i	0.05585587024688721	0
j õ g õ s s	j õ g õ s s	0.052825119346380234	0
v õ t t i m õ s s i	v õ t t i m õ s s i	0.054352160543203354	0
a i g a l õ	a i g a l õ	0.05612073466181755	0
i s i i t	i s i i t	0.053271371871232986	0
l a m p a a l t	l a m p a a l t	0.05764872580766678	0
l a m a z	l a m m a z	0.6824317574501038	1
a k k u n a s s i	a k k u n a s s i	0.05567827820777893	0
l e i v ä d	l e i v ä d	0.057058461010456085	0
a i g a s s	a i g a s s	0.05373067036271095	0
u h s i i t	u h s i i t	0.05673035979270935	0
j u u s s o i l õ	j u u s s o i l õ	0.05545298010110855	0
k õ r v i l õ s s a	k õ r v i i s õ s s a	0.9984317421913147	2
p ä i n ä	p ä i n ä	0.05505755543708801	0
n a i z i s s	n a i z i s s	0.053132519125938416	0
s u z i l l	s u z i l l	0.05725472420454025	0
t ä h t e e	t ä h t e e	0.05509006977081299	0
o p õ z i l l õ s s a	o p õ z i l l õ s s a	0.05709699168801308	0
k u r k õ a	k u r k õ a	0.060183439403772354	0
l u p a a	l u p a a	0.17584393918514252	0
t š e v ä ä s s	t š e v ä ä s s	0.057034771889448166	0
k u u l t	k u u l t	0.06083888188004494	0
j a l g a d	j a l g a d	0.055981703102588654	0
l e i p o i l õ	l e i p o i l õ	0.06613632291555405	0
t ü t t ä r e a	t ü t ä r t ä	1.6101932525634766	3
v a r õ h z õ õ	v a r õ h s õ õ	0.2970074713230133	1
v e z i l e	v e z i l e	0.05672773718833923	0
m e h e ď ď e k a	m e h e ď ď e k a	0.05336754769086838	0
õ ź ď i s s i	õ ź ď i s s i	0.052754033356904984	0
i l o z u i s s	i l o z u i s s	0.05424066260457039	0
l u h õ õ	l u h õ õ	0.059173014014959335	0
k u i z	k u i z	0.0593290813267231	0
t š e v ä ä	t š e v ä ä	0.05795302614569664	0
k o i r õ i n a	k o i r õ i n a	0.05721826106309891	0
k o i r a	k o i r a a	0.8632017374038696	1
l u i s õ s s a	l u i s s a	1.1223701238632202	2
õ l u i z	õ l u i z	0.05787431076169014	0
k õ r r õ z	k õ r r õ z	0.05892220512032509	0
m e h e i s e	m e h e i s e	0.07469448447227478	0
õ l u u l õ	õ l u u l õ	0.05787128210067749	0
s u s i j e	s u s i j e	0.05450546741485596	0
v õ t t i m i l l	v õ t t i m i l l	0.0567251555621624	0
m e h e i t	m e h e i t	0.056506793946027756	0
i l o z u i n a	i l o z u i n a	0.05530749261379242	0
j a l k a	j a l k a	0.056336577981710434	0
j ä ä k ä	j ä ä k ä	0.08662562817335129	0
m e h e i l t	m e h e i l t	0.05789943039417267	0
s õ s a r õ õ	s õ s a r õ õ	0.05480481684207916	0
õ ź a l l	õ ź a l l	0.057370204478502274	0
v e l l i s s	v e l l i s s	0.05588051304221153	0
k õ r v i i s õ	k õ r v i i s õ	0.05826504901051521	0
k u r ď i s s	k u r ď i s s	0.05724649131298065	0
m a a t	m a a t	0.05738319084048271	0
õ ź ď i i n a	õ ź ď i i n a	0.05422759801149368	0
a k k u n a l t	a k k u n a l t	0.05791816487908363	0
l u u s s	l u u s s	0.058193389326334	0
