prediction	target	loss	dist
e t t ä   p e i t t y n n e	e t t ä   p e i t t y n n e	0.04784996807575226	0
v u o t t a z i m a	v u o t t a z i m a	0.048119381070137024	0
o l i z i n   č i r i s s y n	o l i z i n   č i r i s s y n	0.04785624518990517	0
f i l a r m o n i j o i č č i	f i l a r m o n i j o i č č i	0.04502275213599205	0
o l i z i j a   č i r i s s y n	o l i z i j a   č i r i s s y n	0.04735005646944046	0
e m m ä   o l i s ’   k r i ä č k y n	e m m ä   o l i s ’   k r i ä č k y n	0.05027981847524643	0
l u o t t u a č e t t a i s ’	l u o t t u a č e t t a i s ’	0.0473799854516983	0
k e l d a b i l b o l l a	k e l d a b i l b o l l a	0.04644874110817909	0
l ä i k k y n n e t	l ä i k k y n n e t	0.0458194874227047	0
k u i v u a	k u i v u a	0.045013196766376495	0
e i   l i e n e   k i s k o n	e i   l i e n e   k i s k o n	0.04910264164209366	0
š o p p i h	š o p p i h	0.059626393020153046	0
e m m ä   v a l m i s t u i s ’	e m m ä   v a l m i s t u i s ’	0.048482637852430344	0
k a z a č i h o i k s i	k a z a č i h o i k s i	0.04654907435178757	0
u n i v e r s i t e t a t	u n i v e r s i t e t a t	0.046901099383831024	0
r u o h t i m i č č i	r u o h t i m i č č i	0.04635559022426605	0
e m m ä   h u u h t o i s ’	e m m ä   h u u h t o i s ’	0.048468172550201416	0
k o l m a š p ä i v ä č č i	k o l m a š p ä i v ä č č i	0.04599093645811081	0
p u o l e n n o u	p u o l e n n o u	0.04757475107908249	0
l i e n e t   č i r e t t ä n	l i e n e t   č i r e t t ä n	0.04787448048591614	0
e i   l i e n e   j u a t t u	e i   l i e n e   j u a t t u	0.0479123517870903	0
h e i n i k k ö n ä	h e i n i k k ö n ä	0.04455995559692383	0
r o h k i e h	r o h k i e h	0.04750441014766693	0
m a t e m a t i k o i l l a	m a t e m a t i k o i l l a	0.04711578041315079	0
e i   l i e n e   v y ö t t i ä č e t t y	e i   l i e n e   v y ö t t i ä č e t t y	0.0469195619225502	0
k o l o t t i s ’	k o l o t t i s ’	0.04882090911269188	0
n ’ a p š o i n	n ’ a p š o i n	0.04595353826880455	0
k a r a s ʼ s ʼ u l o i s s a	k a r a s ʼ s ʼ u l o i s s a	0.04496227949857712	0
e m m ä   o l i s ’   a j a n	e m m ä   o l i s ’   a j a n	0.050856225192546844	0
r u b i e n	r u b i e n	0.04435236379504204	0
o l i t   a v u a l ’ l u n	o l i t   a v u a l ’ l u n	0.0669645369052887	0
l i e n e t   v i r v i t t ä n	l i e n e t   v i r v i t t ä n	0.04812340438365936	0
e i   o l d u   h i r n a k o i d u	e i   o l d u   h i r n a k o i d u	0.049137551337480545	0
r u v o t	r u v o t	0.048637330532073975	0
e i   o l e   l y ö n y n	e i   o l e   l y ö n y n	0.04915895685553551	0
m a r j a l d a	m a r j a l d a	0.04666789993643761	0
č e l n i k ä t	č e l n i k ä t	0.04530344903469086	0
e n   l i e n e   m u h a h t a n	e n   l i e n e   m u h a h t a n	0.04892822355031967	0
k o č a h a l d a n n e t	k o č a h a l d a n n e t	0.04664494842290878	0
o r a v o i n	o r a v o i n	0.0485064797103405	0
