prediction	target	loss	dist
n i t a k a m i l i s h a	n i t a k a m i l i s h a	0.06533373892307281	0
n i l i f a g i a	n i l i f a g i a	0.06536669284105301	0
w a n a p o n d a	w a n a p o n d a	0.06670743227005005	0
t u n g a l i m w i t a	t u n g a l i m w i t a	0.06818051636219025	0
a m e o n d o a	a m e o n d o a	0.06698521971702576	0
t u h u c h a f y a	t u h u c h a f y a	0.06784664839506149	0
n i n a f i c h a	n i n a f i c h a	0.0665891021490097	0
n i n g e o m b a	n i n g e o m b a	0.06964860111474991	0
t u m e b o f y a	t u m e b o f y a	0.06830669194459915	0
m l i f u a t a	m l i f u a t a	0.06634153425693512	0
w a h u t e m b e a	w a h u t e m b e a	0.06755349040031433	0
t u n g e f u n z a	t u n g e f u n z a	0.06927306950092316	0
t u m e t a f u n a	t u m e t a f u n a	0.06698834896087646	0
m n a a n g u k a	m n a a n g u k a	0.06600643694400787	0
t u m e o s h a	t u m e o s h a	0.06906522810459137	0
n i n a s i n z i a	n i n a s i n z i a	0.0650884211063385	0
n i n g a l i s o m a	n i n g a l i s o m a	0.06816285103559494	0
t u n g a l i s a f i s h a	t u n g a l i s a f i s h a	0.06746406108140945	0
n i l i s e m a	n i l i s e m a	0.06754784286022186	0
u n a o t a	u n a o t a	0.0669865608215332	0
w a h u m e z a	w a h u m e z a	0.06653612107038498	0
w a m e t i k i s a	w a m e t i k i s a	0.06621935963630676	0
w a m e v u t a	w a m e v u t a	0.06562650203704834	0
t u t a o n d o a	t u t a o n d o a	0.06765687465667725	0
a h u e n d e s h a	a h u e n d e s h a	0.06667594611644745	0
w a h u o n d o a	w a h u o n d o a	0.06767162680625916	0
w a l i n g o j a	w a l i n g o j a	0.06699271500110626	0
n i t a p e a	n i t a p e a	0.06548275053501129	0
w a a e n d e s h a	w a a e n d e s h a	0.06543410569429398	0
w a a t a f u n a	w a a t a f u n a	0.06377164274454117	0
m t a t i k i s a	m t a t i k i s a	0.06581059843301773	0
a l i k u m b u k a	a l i k u m b u k a	0.06767084449529648	0
m a l a l a	m a l a l a	0.06307606399059296	0
m n a p e a	m n a p e a	0.06566228717565536	0
a n g a l i k a a	a n g a l i k a a	0.06547771394252777	0
a n g a l i n u n u a	a n g a l i n u n u a	0.065541572868824	0
w a n g e e n d e s h a	w a n g e e n d e s h a	0.0679599866271019	0
