prediction	target	loss	dist
i s t i t u e s c	i s t i t u e s c	0.06327556073665619	0
c u n v a l i d a r é	c u n v a l i d a r é	0.067277692258358	0
p r o d u j	p r o d u j	0.0683649554848671	0
a d o t e i a	a d o t e i a	0.06514862924814224	0
a c r e d i t a s s e	a c r e d i t a s s e	0.06421586126089096	0
s e c u e s t r o n	s e c u e s t r o n	0.06664405763149261	0
g i u d i c h e	g i u d i c h e	0.06691563129425049	0
d e s t u m e i e	d e s t u m e i e	0.06617481261491776	0
c o m p r e i a	c o m p r e i a	0.06716036796569824	0
c u n z e d e s s a i s	c u n z e d e s s a i s	0.06376989185810089	0
r e n u n z i e i e	r e n u n z i e i e	0.06637296825647354	0
r e n u n z i a s s a	r e n u n z i a s s a	0.0654967725276947	0
c o o r d i n o v a	c o o r d i n o v a	0.0685935914516449	0
s p a r t i d e	s p a r t i d e	0.06602270901203156	0
v o l e i s	v o l e i s	0.0636649876832962	0
d e t l a r a s s a	d e t l a r a s s a	0.06542933732271194	0
r o m p o n	r o m p o n	0.06914502382278442	0
d e l i b r o n	d e l i b r o n	0.0672716423869133	0
g a u j e a	g a u j e a	0.06585318595170975	0
g a r a n t i v a	g a r a n t i v a	0.06685347855091095	0
g a r a n t e	g a r a n t e	0.06695856153964996	0
m i r a s s a	m i r a s s a	0.06368795037269592	0
c r u z i o v a n	c r u z i o v a n	0.06873957812786102	0
r e g u l o v a	r e g u l o v a	0.06836499273777008	0
m e s s o n	m e s s o n	0.06485924869775772	0
n a s c e s s a	n a s c e s s a	0.06294022500514984	0
r e d u j o n	r e d u j o n	0.06941406428813934	0
a c r e d i t e s	a c r e d i t e s	0.06617270410060883	0
a d a t e s	a d a t e s	0.0654013454914093	0
c o o r d e n e i a	c o o r d e n e i a	0.06644923239946365	0
m a r i d a r e i s	m a r i d a r e i s	0.06564368307590485	0
a r j o n j e s s a	a r j o n j e s s a	0.06471322476863861	0
c a p	c a p	0.06428078562021255	0
c o m p r a s s a n	c o m p r a s s a n	0.06639797240495682	0
c o s t e s	c o s t e s	0.06541259586811066	0
v o l e s s a	v o l e s s a	0.06262248754501343	0
f u r m o v e s	f u r m o v e s	0.06794442981481552	0
d e s l i o v a	d e s l i o v a	0.0672105997800827	0
c u m p o r t e d e	c u m p o r t e d e	0.06856370717287064	0
c u n f e r e s c	c u n f e r e s c	0.06581809371709824	0
r o m p e	r o m p e	0.0674862340092659	0
n d i c h a r é	n d i c h a r é	0.06755967438220978	0
a l e s i r a r é	a l e s i r a r é	0.06392127275466919	0
r e j o n e i a	r e j o n e i a	0.06536608189344406	0
n u m i n e	n u m i n e	0.06822489947080612	0
d a r à	d a r à	0.06808257848024368	0
p e r d a r o n	p e r d a r o n	0.06849978864192963	0
s t o r j o v e s	s t o r j o v e s	0.06646321713924408	0
t r a m u d e d e	t r a m u d e d e	0.06786651164293289	0
s t i p u l a	s t i p u l a	0.06682472676038742	0
p a r t e z i p a	p a r t e z i p a	0.06614018231630325	0
m o r i s s e	m o r i s s e	0.06438722461462021	0
à	à	0.08120092749595642	0
p e r d e s s e	p e r d e s s e	0.06442955136299133	0
n c u r a j e r	n c u r a j e r	0.0689464658498764	0
s o m e t e s	s o m e t e s	0.06393097341060638	0
r e s s o l v o v a i s	r e s s o l v o v a i s	0.06435931473970413	0
t r a s f e r e s	t r a s f e r e s	0.06453759968280792	0
v e i d e s	v e i d e s	0.062433235347270966	0
d e s g o r j a r à	d e s g o r j a r à	0.06677250564098358	0
v a e	v a e	0.05838468670845032	0
e d u c h o v a i s	e d u c h o v a i s	0.06677208095788956	0
s u s t e n	s u s t e n	0.06387422978878021	0
p r o m u l g h o v e	p r o m u l g h o v e	0.06868461519479752	0
c h e r d a r à	c h e r d a r à	0.06911226361989975	0
a z e r t e i e s	a z e r t e i e s	0.06414274871349335	0
a c u r d a s s a	a c u r d a s s a	0.06586690247058868	0
c u m p o r t e i s	c u m p o r t e i s	0.06788581609725952	0
r e n u n z i a r o n	r e n u n z i a r o n	0.06800451874732971	0
f u r m e i a	f u r m e i a	0.06679083406925201	0
n f u r m e i s	n f u r m e i s	0.06760712713003159	0
c o s t i t u i s s a	c o s t i t u i s s a	0.06492945551872253	0
c o r o m p a r a s	c o r o m p a r a s	0.06579262763261795	0
r e s t a s s a n	r e s t a s s a n	0.06477969139814377	0
p r e j e n t e i e	p r e j e n t e i e	0.06615433841943741	0
d a m a n d e i e	d a m a n d e i e	0.06675463914871216	0
t r a m u d o n	t r a m u d o n	0.06961897015571594	0
c u r e s p u e n d e s	c u r e s p u e n d e s	0.06724495440721512	0
p u b l i c h o v e	p u b l i c h o v e	0.06728634983301163	0
m i r a r é	m i r a r é	0.06516193598508835	0
m e s s o v a	m e s s o v a	0.06494282186031342	0
d a m a n d e i a	d a m a n d e i a	0.06673257052898407	0
s t o r j	s t o r j	0.06572806090116501	0
s p i d l e r	s p i d l e r	0.06751669943332672	0
a c r e d i t a r o n	a c r e d i t a r o n	0.06694924831390381	0
l i m i t o v e	l i m i t o v e	0.06657783687114716	0
p r u i b e	p r u i b e	0.06459750980138779	0
c u n v a l i d e i e	c u n v a l i d e i e	0.06660065799951553	0
s c u t a r à	s c u t a r à	0.06763613969087601	0
s l u n g e i e	s l u n g e i e	0.06557074934244156	0
s e g u r o v e	s e g u r o v e	0.06675390899181366	0
d a n e j e	d a n e j e	0.06717757135629654	0
p u r t a r à	p u r t a r à	0.06972143054008484	0
m a n d e i e	m a n d e i e	0.06625780463218689	0
t r a d u j a r é	t r a d u j a r é	0.06694579869508743	0
d e l i b r e	d e l i b r e	0.06586901843547821	0
a c r e d i t e i e s	a c r e d i t e i e s	0.06502935290336609	0
i s t r u i r é	i s t r u i r é	0.06564889848232269	0
s l u n g e s	s l u n g e s	0.0662040263414383	0
c h e r d e i a	c h e r d e i a	0.06704787164926529	0
d e s v i o v e s	d e s v i o v e s	0.06587482988834381	0
f u r m a	f u r m a	0.06832951307296753	0
u s s e r v o v e	u s s e r v o v e	0.06519396603107452	0
c a p e s c	c a p e s c	0.06390615552663803	0
f u r m e i e s	f u r m e i e s	0.0659807026386261	0
a n u l o n	a n u l o n	0.06888498365879059	0
m a n d e s	m a n d e s	0.06708406656980515	0
a r b i t r e r	a r b i t r e r	0.06641146540641785	0
d e s l i a s s e s	d e s l i a s s e s	0.06343698501586914	0
r e p r e j e n t o n	r e p r e j e n t o n	0.06802182644605637	0
d e t e r m i n e i e s	d e t e r m i n e i e s	0.06586717814207077	0
a c u s a r é	a c u s a r é	0.0648002028465271	0
a d o t e	a d o t e	0.06668281555175781	0
c o m u n i c h e i e s	c o m u n i c h e i e s	0.06622753292322159	0
s p o r j a r é	s p o r j a r é	0.06577244400978088	0
c u n z e d	c u n z e d	0.06677829474210739	0
d e p e n j o v e	d e p e n j o v e	0.0678749680519104	0
p a r t e z i p e i a	p a r t e z i p e i a	0.06552336364984512	0
r e s p u e n d e i e s	r e s p u e n d e i e s	0.06572043895721436	0
s e u r a n d a r a s	s e u r a n d a r a s	0.06567882746458054	0
m a r i d e d e	m a r i d e d e	0.0669616311788559	0
i s t i t u i s s a i s	i s t i t u i s s a i s	0.06272751837968826	0
a p l i c h o n	a p l i c h o n	0.06836293637752533	0
v o l o v a	v o l o v a	0.06659574061632156	0
l i m i t e d e	l i m i t e d e	0.06571286171674728	0
s c u r t o v e	s c u r t o v e	0.06820616871118546	0
d é	d é	0.13798008859157562	0
u d e s c	u d e s c	0.06428781896829605	0
d o r m e s c e	d o r m e s c e	0.0647498369216919	0
c a p i s s a	c a p i s s a	0.06443140655755997	0
t r a m u d a r à	t r a m u d a r à	0.06900416314601898	0
a p l i c h a r a s	a p l i c h a r a s	0.06576481461524963	0
i s t r u i s s a n	i s t r u i s s a n	0.06491947919130325	0
p r u i b e s c e	p r u i b e s c e	0.06283355504274368	0
r e v u c h o v a	r e v u c h o v a	0.06853514909744263	0
d e s l i a r o n	d e s l i a r o n	0.06688070297241211	0
c o m u n i c h e i a	c o m u n i c h e i a	0.06682821363210678	0
a u t o r i s a s s a	a u t o r i s a s s a	0.06334434449672699	0
c i a n t e d e	c i a n t e d e	0.06644100695848465	0
o n j e	o n j e	0.0627954751253128	0
n j i n i a s s a n	n j i n i a s s a n	0.06466113030910492	0
f i n a n z i o v a n	f i n a n z i o v a n	0.06719264388084412	0
s p a r t e s c e	s p a r t e s c e	0.06397109478712082	0
s c u t o v a	s c u t o v a	0.06779515743255615	0
m a n d e i s	m a n d e i s	0.0662030503153801	0
a t r i b u	a t r i b u	0.06407787650823593	0
e s e r z i t a	e s e r z i t a	0.06419005990028381	0
c i a n t o v a n	c i a n t o v a n	0.06803803890943527	0
d e s t i n e	d e s t i n e	0.06673523783683777	0
f u r m o n	f u r m o n	0.0701209232211113	0
s c o u t e i e	s c o u t e i e	0.06488010287284851	0
m i r a s s e s	m i r a s s e s	0.06331320852041245	0
c u n z e d e s s a	c u n z e d e s s a	0.06490468978881836	0
p r o d u j o v a	p r o d u j o v a	0.06926821172237396	0
m p a r t e	m p a r t e	0.06756959110498428	0
m a n i f e s t e i e	m a n i f e s t e i e	0.06425502151250839	0
e n t e n j e i s	e n t e n j e i s	0.06585516780614853	0
c u n d a n o n	c u n d a n o n	0.07045385241508484	0
v e d a r à	v e d a r à	0.06627549976110458	0
c u n f e r i s s e s	c u n f e r i s s e s	0.06560009717941284	0
c h e r d e	c h e r d e	0.06911014020442963	0
c u m a n d a s s e s	c u m a n d a s s e s	0.06577947735786438	0
d e t l a r e i e	d e t l a r e i e	0.06661345064640045	0
t r a m u d e i e s	t r a m u d e i e s	0.0663456916809082	0
m a n d e	m a n d e	0.06826061755418777	0
c u m p o r t o v a i s	c u m p o r t o v a i s	0.06773176044225693	0
g i u d i c h o v a	g i u d i c h o v a	0.06777829676866531	0
u s s e r v a r a s	u s s e r v a r a s	0.06363227963447571	0
r a t e	r a t e	0.06688837707042694	0
j o n j o n	j o n j o n	0.06885363906621933	0
c i a n t e i a	c i a n t e i a	0.06564317643642426	0
r e s t a r à	r e s t a r à	0.06729260087013245	0
e r j e	e r j e	0.06253338605165482	0
d o v a	d o v a	0.06825900077819824	0
a d a t a	a d a t a	0.06609127670526505	0
r e j o n a r à	r e j o n a r à	0.0679413452744484	0
c o n d u j e s s a	c o n d u j e s s a	0.0655384361743927	0
s e g u r o v a n	s e g u r o v a n	0.06766492128372192	0
c i a n t e i s	c i a n t e i s	0.0654778778553009	0
s p o n j e i s	s p o n j e i s	0.06536813825368881	0
a n c u n t e a	a n c u n t e a	0.06821242719888687	0
p r u f e s s a r o n	p r u f e s s a r o n	0.06583800166845322	0
e n t e n j a r à	e n t e n j a r à	0.06753601878881454	0
c o n d u j e	c o n d u j e	0.06904052197933197	0
s t r e n j e	s t r e n j e	0.06504104286432266	0
a d a t e i e	a d a t e i e	0.06488406658172607	0
c o o r d i n o v e	c o o r d i n o v e	0.06810850650072098	0
g a r a n t i r o n	g a r a n t i r o n	0.06768634915351868	0
