prediction	target	loss	dist
s i t r o n e l l a a l e i t t a	s i t r o n e l l a a l e i t t a	0.05071112513542175	0
p o n t e v a a n	p o n t e v a a n	0.048389729112386703	0
p ä ä m a j o j e n	p ä ä m a j o j e n	0.10764359682798386	0
c o q u e r e l i n k ä ä p i ö m a k e i l l a	c o q u e r e l i n k ä ä p i ö m a k e i l l a	0.048763666301965714	0
o l y m p i a p a i k k o i h i n	o l y m p i a p a i k k o i h i n	0.05623790994286537	0
m e g a s p o r i	m e g a s p o r i	0.04955524951219559	0
p r o p o r t i o n a a l i s i s s a	p r o p o r t i o n a a l i s i s s a	0.05199556425213814	0
a v i t i t	a v i t i t	0.05149121955037117	0
k a a p e l o i n e e	k a a p e l o i n e e	0.0499742217361927	0
r u u t u v i t o s e t	r u u t u v i t o s e t	0.04976373538374901	0
t ä h t i t o r n e i l l a	t ä h t i t o r n e i l l a	0.0500783808529377	0
t u u m a i l k a a	t u u m a i l k a a	0.04946979135274887	0
s y n k o p o i n t e i n e e n	s y n k o p o i n t e i n e e n	0.04825510084629059	0
k a m o m i l l o i k s i	k a m o m i l l o i k s i	0.04919237270951271	0
r o t t w e i l e r i l l ä	r o t t w e i l e r i l l ä	0.04917505756020546	0
i n d i v i d u a a l i n	i n d i v i d u a a l i n	0.04931871220469475	0
a u r i n g o n s a p p i e n	a u r i n g o n s a p p i e n	0.049798451364040375	0
m o u k u i l l a	m o u k u i l l a	0.05080471187829971	0
h e g e m o n i n a	h e g e m o n i n a	0.0477757453918457	0
k u l l a n k a i v a j a a	k u l l a n k a i v a j a a	0.05093337595462799	0
f a n e e r e i k s i	f a n e e r e i k s i	0.047449249774217606	0
k i p i n ä v ä l e i s t ä	k i p i n ä v ä l e i s t ä	0.0483006127178669	0
a a t e l i s v a a k u n a l t a	a a t e l i s v a a k u n a l t a	0.05166908726096153	0
m a c h o	m a c h o	0.04755362495779991	0
t r a p p i n a	t r a p p i n a	0.04987900331616402	0
l e h t i m i e h e t	l e h t i m i e h e t	0.04794241860508919	0
e r e h d y k s e t t ä	e r e h d y k s e t t ä	0.04734831675887108	0
ä r s y t t ä v ä s t ä	ä r s y t t ä v ä s t ä	0.04751883074641228	0
s h o k k i a a l l o t	s h o k k i a a l l o t	0.05068802833557129	0
p u b i	p u b i	0.04902736842632294	0
k e s k e n e r ä i s y y t t ä	k e s k e n e r ä i s y y t t ä	0.04738278314471245	0
k a i k k i v o i v i n	k a i k k i v o i v i n	0.049697618931531906	0
r u t i k u i v i n	r u t i k u i v i n	0.049618758261203766	0
k i t k e r ö i t t ä k ö ö n	k i t k e r ö i t t ä k ö ö n	0.04594604671001434	0
p s y k o d y n a a m i s i n	p s y k o d y n a a m i s i n	0.04919637739658356	0
n i s k a n i k a m a t	n i s k a n i k a m a t	0.05020178109407425	0
s a n k a r i t a r t a	s a n k a r i t a r t a	0.05102706700563431	0
l a i s k a n l ä k s y j ä	l a i s k a n l ä k s y j ä	0.049578841775655746	0
s i v u a i n e i n a	s i v u a i n e i n a	0.049203407019376755	0
s i p e r i a n h u s k y	s i p e r i a n h u s k y	0.05045664310455322	0
p a š š o j a	p a š š o j a	0.04261277616024017	0
a l a - a s e m i n e e n	a l a - a s e m i n e e n	0.048371292650699615	0
v o l a p ü k i n	v o l a p ü k i n	0.08886749297380447	0
n i a s i i n e i n e e n	n i a s i i n e i n e e n	0.0480213388800621	0
r y s t y s i k s i	r y s t y s i k s i	0.04799222946166992	0
b r o m i d i n a	b r o m i d i n a	0.04900272935628891	0
ä k k i n ä i s e t	ä k k i n ä i s e t	0.04773047938942909	0
v a l v o i s i n	v a l v o i s i n	0.04996982961893082	0
a l k e i s h i u k k a s t a	a l k e i s h i u k k a s t a	0.049910254776477814	0
k o l m i o i l l e	k o l m i o i l l e	0.050865624099969864	0
s u f f r a g e t e i n	s u f f r a g e t e i n	0.047202594578266144	0
p a s s i v o i t u n e t	p a s s i v o i t u n e t	0.04937653988599777	0
y k s i n o m a i s e l l e	y k s i n o m a i s e l l e	0.049971308559179306	0
n u k k e m a i s i l l a	n u k k e m a i s i l l a	0.05024247244000435	0
p ä ä d y t	p ä ä d y t	0.04651370272040367	0
h u i j a t t i i n	h u i j a t t i i n	0.048557449132204056	0
l ö y h y y d e n	l ö y h y y d e n	0.0459631010890007	0
o r k e s t e r i t a i t e e t	o r k e s t e r i t a i t e e t	0.049371976405382156	0
p i e n e l i ö i s s ä	p i e n e l i ö i s s ä	0.04837367311120033	0
l a s t a u k s e l l a	l a s t a u k s e l l a	0.050664160400629044	0
m a i t o p u m p p u n a	m a i t o p u m p p u n a	0.05042291060090065	0
l i n t s a t t a i s i i n	l i n t s a t t a i s i i n	0.04834383353590965	0
s c i f i k i r j a l l i s u u k s i s t a	s c i f i k i r j a l l i s u u k s i s t a	0.04873242601752281	0
m e t s ä k e s k u s	m e t s ä k e s k u s	0.047616589814424515	0
k o k o o j a l l e	k o k o o j a l l e	0.049852922558784485	0
m u o d o n m u u t o k s i s s a	m u o d o n m u u t o k s i s s a	0.049255091696977615	0
s e u r a p i i r i n	s e u r a p i i r i n	0.050037503242492676	0
k o h t a u k s e k s i	k o h t a u k s e k s i	0.04806170240044594	0
m u s k e t i t t a	m u s k e t i t t a	0.048981454223394394	0
p u h e e n v u o r o i h i n	p u h e e n v u o r o i h i n	0.04977371543645859	0
n a g a i k a l l e	n a g a i k a l l e	0.0502331517636776	0
k i i h d y t y k s i k s i	k i i h d y t y k s i k s i	0.04723083972930908	0
a u d i e n s s e i t t a	a u d i e n s s e i t t a	0.04880739003419876	0
