prediction	target	loss	dist
r e j o n a r à	r e j o n a r à	0.06144377961754799	0
p r o n u n z i a	p r o n u n z i a	0.06173151731491089	0
r e n u n z i a r e i s	r e n u n z i a r e i s	0.0604577474296093	0
e j a m i n e i a	e j a m i n e i a	0.05897367745637894	0
f u r m a s s e	f u r m a s s e	0.06007187068462372	0
p r o n u n z i e a	p r o n u n z i e a	0.06126636639237404	0
a p l i c h o v a i s	a p l i c h o v a i s	0.060452401638031006	0
r e v u c h e	r e v u c h e	0.06088700518012047	0
c u n f e r i e i s	c u n f e r i e i s	0.059733662754297256	0
r e m a n d e i e	r e m a n d e i e	0.06096287816762924	0
c o o r d i n e i s	c o o r d i n e i s	0.060248568654060364	0
p e r d a r o n	p e r d a r o n	0.0623784065246582	0
a r b i t r a r à	a r b i t r a r à	0.06102688983082771	0
a c r e d i t e	a c r e d i t e	0.060805730521678925	0
s o m e t e s	s o m e t e s	0.0595150887966156	0
s a r e i s	s a r e i s	0.054598402231931686	0
a s s e n i e i e s	a s s e n i e i e s	0.05648565664887428	0
p o p u l o v a	p o p u l o v a	0.06329807639122009	0
u s s e r v e d e	u s s e r v e d e	0.058095239102840424	0
s c r i v e	s c r i v e	0.058526333421468735	0
d e s t u m a	d e s t u m a	0.06261713802814484	0
c o n d u j o n	c o n d u j o n	0.06364140659570694	0
p e r d a r e i s	p e r d a r e i s	0.06097764894366264	0
a c r e d i t e	a c r e d i t e	0.06077957898378372	0
a p l i c h e s	a p l i c h e s	0.06118262559175491	0
e r j a r a s	e r j a r a s	0.05925875902175903	0
s e c u e s t r e i e	s e c u e s t r e i e	0.059657979756593704	0
s o m e t o v a i s	s o m e t o v a i s	0.05925765261054039	0
e j a m i n o n	e j a m i n o n	0.06051841005682945	0
p r u i b	p r u i b	0.06111441180109978	0
n c u r a j a r o n	n c u r a j a r o n	0.06227592006325722	0
f i s s e i e s	f i s s e i e s	0.055318135768175125	0
r e m p l a z o n	r e m p l a z o n	0.061689089983701706	0
s c u r t e r	s c u r t e r	0.06312593817710876	0
p r o i b e s c	p r o i b e s c	0.05734831839799881	0
p r e j e n t a s s a	p r e j e n t a s s a	0.06115453317761421	0
s l u n g a	s l u n g a	0.05986728146672249	0
v i u l e i s	v i u l e i s	0.05919581651687622	0
m a n t e n i v a i s	m a n t e n i v a i s	0.05990557000041008	0
r e v u c h a s s e s	r e v u c h a s s e s	0.059309303760528564	0
p u b l i c h a s s e	p u b l i c h a s s e	0.05991808697581291	0
c o s t i t u	c o s t i t u	0.061633240431547165	0
a d a t e r	a d a t e r	0.06044599041342735	0
r e m a n d a r a s	r e m a n d a r a s	0.06066518649458885	0
m a r i d e i e	m a r i d e i e	0.060133032500743866	0
i s t r u e s c e	i s t r u e s c e	0.058839429169893265	0
i s t i t u i r e i s	i s t i t u i r e i s	0.05992880463600159	0
r e v u c h o v a n	r e v u c h o v a n	0.06133098900318146	0
a t u a r o n	a t u a r o n	0.06191246211528778	0
s l u n g o n	s l u n g o n	0.06103776395320892	0
a t r i b u e s	a t r i b u e s	0.0598004013299942	0
f i s s e a	f i s s e a	0.05491829663515091	0
d o r m i v e	d o r m i v e	0.05978815630078316	0
l i m i t o n	l i m i t o n	0.06083608418703079	0
r e v u c h o v a	r e v u c h o v a	0.0606708899140358	0
p r u i b e s c e	p r u i b e s c e	0.05895310640335083	0
a p r o e i e	a p r o e i e	0.0599389411509037	0
a n c u n t a r e i s	a n c u n t a r e i s	0.06193378567695618	0
c o m p r é	c o m p r é	0.06268879026174545	0
d e s s a r à	d e s s a r à	0.0596281923353672	0
d a m a n d e i e	d a m a n d e i e	0.060440946370363235	0
p o r t o v a	p o r t o v a	0.06270676851272583	0
t r a t a s s e	t r a t a s s e	0.06078120693564415	0
s e u r a n d a s s e s	s e u r a n d a s s e s	0.059389278292655945	0
s o m e t a r à	s o m e t a r à	0.06019499525427818	0
a d o t e a	a d o t e a	0.05963588505983353	0
t r a d u j	t r a d u j	0.06302042305469513	0
n d i c h e d e	n d i c h e d e	0.06079481542110443	0
e m a n e s	e m a n e s	0.05979117378592491	0
f o s s a	f o s s a	0.055277008563280106	0
e d u c h o n	e d u c h o n	0.06296728551387787	0
m a n d o v a n	m a n d o v a n	0.06198534741997719	0
m a n i f e s t e i a	m a n i f e s t e i a	0.05863955616950989	0
r e v u c h o n	r e v u c h o n	0.06174389645457268	0
c h e r d o v a	c h e r d o v a	0.061811406165361404	0
d e t e r m i n a r o n	d e t e r m i n a r o n	0.061236776411533356	0
r e s u l t e i e	r e s u l t e i e	0.06180247664451599	0
l i t e d e	l i t e d e	0.059588897973299026	0
c o g n a r e i s	c o g n a r e i s	0.05928242951631546	0
s p i e t o n	s p i e t o n	0.06110003590583801	0
i s t r u i s s e s	i s t r u i s s e s	0.05939343944191933	0
p e r d u j e s s a i s	p e r d u j e s s a i s	0.06047780066728592	0
a c u r d e i e	a c u r d e i e	0.062309399247169495	0
f u r m e i a	f u r m e i a	0.061105355620384216	0
d e p e n j e i s	d e p e n j e i s	0.06086528301239014	0
m a n t e n i s s a	m a n t e n i s s a	0.06023242324590683	0
t r a m u d a r e i s	t r a m u d a r e i s	0.0625036209821701	0
d e f r e n z i e i s	d e f r e n z i e i s	0.058445822447538376	0
s o m e t a s s a	s o m e t a s s a	0.05879645422101021	0
r e s p u e n d e a	r e s p u e n d e a	0.06146842613816261	0
d e p e n j o v a i s	d e p e n j o v a i s	0.06037012115120888	0
a u t o r i s a s s a	a u t o r i s a s s a	0.059160273522138596	0
s e c u e s t r a r é	s e c u e s t r a r é	0.0602555088698864	0
a p u r v e s	a p u r v e s	0.06162886321544647	0
a p r o e i s	a p r o e i s	0.060457341372966766	0
s p i e t e	s p i e t e	0.06014133244752884	0
e d u c h o v e	e d u c h o v e	0.061304278671741486	0
s p o r j e s s e	s p o r j e s s e	0.05878003314137459	0
r e d u j	r e d u j	0.061944860965013504	0
r e g u l e i a	r e g u l e i a	0.060767240822315216	0
d e j ë u j e i a	d e j ë u j e i a	0.06005535647273064	0
p e r d a r é	p e r d a r é	0.06203516200184822	0
m e s s e s s a i s	m e s s e s s a i s	0.05650968477129936	0
d e l e g h e i e	d e l e g h e i e	0.0589185431599617	0
s o t s c r i v e	s o t s c r i v e	0.05750865489244461	0
a t r i b u e	a t r i b u e	0.06013741344213486	0
p r o d u j a r e i s	p r o d u j a r e i s	0.06184907630085945	0
e j a m i n a s s a	e j a m i n a s s a	0.05866497382521629	0
a r j o n j e s s a i s	a r j o n j e s s a i s	0.05906399339437485	0
c a p e s c e	c a p e s c e	0.058304816484451294	0
d a m a n d a r a s	d a m a n d a r a s	0.06026556342840195	0
a r b i t r a s s a	a r b i t r a s s a	0.059507809579372406	0
l a s c a s s a i s	l a s c a s s a i s	0.057800471782684326	0
r a t i f i c h e	r a t i f i c h e	0.05988560989499092	0
c u n d a n e	c u n d a n e	0.06318588554859161	0
p r o n u n z i a s s e s	p r o n u n z i a s s e s	0.06076529994606972	0
n d i c h a	n d i c h a	0.06140369549393654	0
r e g u l e i e s	r e g u l e i e s	0.06015152856707573	0
c o n d u j a r à	c o n d u j a r à	0.06261464208364487	0
r e v e r i r a s	r e v e r i r a s	0.05786917731165886	0
r e s u l t o v e	r e s u l t o v e	0.06182635575532913	0
u d i s s e	u d i s s e	0.05949411913752556	0
s t o r j o n	s t o r j o n	0.06195822358131409	0
r a t i f i c h o v a n	r a t i f i c h o v a n	0.060641996562480927	0
t r a t e	t r a t e	0.06346745043992996	0
a c u s a	a c u s a	0.060124870389699936	0
a d a t e i s	a d a t e i s	0.05992541089653969	0
a r e s t e i e	a r e s t e i e	0.06059493124485016	0
p o s s e s	p o s	1.6684939861297607	3
a l e s i r a s s e s	a l e s i r a s s e s	0.05772216245532036	0
s t i p u l a r o n	s t i p u l a r o n	0.06239699199795723	0
v u e s	v u e s	0.05530108883976936	0
i s t r u e	i s t r u e	0.060800112783908844	0
a d a t e a	a d a t e a	0.059604376554489136	0
f r a n j o v a	f r a n j o v a	0.06020836532115936	0
l i m i t e s	l i m i t e s	0.059582799673080444	0
s l u n g e i a	s l u n g e i a	0.05945216119289398	0
r e j o n e	r e j o n e	0.06091403216123581	0
f r a n j a r o n	f r a n j a r o n	0.06075306981801987	0
n a s c e	n a s c e	0.05887606367468834	0
a s s e n i o n	a s s e n i o n	0.057781483978033066	0
u s s e r v a s s a n	u s s e r v a s s a n	0.058458730578422546	0
a f e r m e i s	a f e r m e i s	0.058928728103637695	0
s c o u t e	s c o u t e	0.06088365241885185	0
d e j ë u j a r a s	d e j ë u j a r a s	0.05998704209923744	0
a t r i b u i v e	a t r i b u i v e	0.05950264260172844	0
c o s t i t u e s c e	c o s t i t u e s c e	0.05963560938835144	0
r o m p e s s e s	r o m p e s s e s	0.05917181819677353	0
a s s e n i o v a	a s s e n i o v a	0.05711642652750015	0
n f u r m a s s a	n f u r m a s s a	0.06055257469415665	0
m e i n e i a	m e i n e i a	0.05893884226679802	0
m p a r t e s	m p a r t e s	0.062437430024147034	0
d e t l a r a r à	d e t l a r a r à	0.06176617741584778	0
n a s c o v a	n a s c o v a	0.059645891189575195	0
t r a s f e r e s	t r a s f e r e s	0.059275586158037186	0
i s t i t u e s	i s t i t u e s	0.05981378257274628	0
p r e j e n t o v a i s	p r e j e n t o v a i s	0.061345651745796204	0
m a r i d e i a	m a r i d e i a	0.06019124761223793	0
f i s s a s s e s	f i s s a s s e s	0.055353302508592606	0
p r u i b i v a	p r u i b i v a	0.06028197333216667	0
f u r m a	f u r m a	0.06211981177330017	0
c o m p r a s s a i s	c o m p r a s s a i s	0.060175571590662	0
r e g i s t r o v a	r e g i s t r o v a	0.06005416065454483	0
g o d o v a n	g o d o v a n	0.058986179530620575	0
t r a s f e r i v a	t r a s f e r i v a	0.05917886272072792	0
d e p e n j o n	d e p e n j o n	0.06231839954853058	0
f i s s a r o n	f i s s a r o n	0.05729317665100098	0
s p a r t i v a	s p a r t i v a	0.06064007058739662	0
d e s t i n e	d e s t i n e	0.06051590293645859	0
c a p e s c e	c a p e s c e	0.05859526991844177	0
c u m a n d a	c u m a n d a	0.06307905167341232	0
r e z e v	r e z e v	0.05532561242580414	0
p a s s a	p a s s a	0.058049675077199936	0
c o o r d e n a s s a i s	c o o r d e n a s s a i s	0.05966796353459358	0
p a s s a	p a s s a	0.05794692412018776	0
a r j o n j o n	a r j o n j o n	0.0624103881418705	0
v i u l e i e s	v i u l e i e s	0.05847472697496414	0
r e s s o l v a	r e s s o l v a	0.05803742632269859	0
f i n a n z i e i s	f i n a n z i e i s	0.05746624618768692	0
p r o i b e s c e s	p r o i b e s c e s	0.05759602412581444	0
c o s t i t u i s s a	c o s t i t u i s s a	0.0605798177421093	0
d e l e g h e a	d e l e g h e a	0.0587984062731266	0
a r e s t e	a r e s t e	0.061157066375017166	0
s p i e t a s s e s	s p i e t a s s e s	0.0587143637239933	0
v i u l a	v i u l a	0.05900897458195686	0
a e	a e	0.049883048981428146	0
p r u f e s s a s s e	p r u f e s s a s s e	0.05877166986465454	0
s a v e i s	s a v e i s	0.05645706504583359	0
d e t e r m i n e i a	d e t e r m i n e i a	0.060267332941293716	0
r e g i s t r a r a s	r e g i s t r a r a s	0.05929988622665405	0
r e s u l t a s s e	r e s u l t a s s e	0.06086248531937599	0
d e t l a r o v a	d e t l a r o v a	0.06134568899869919	0
a d o t e s	a d o t e s	0.05977662280201912	0
r e s s e r v e	r e s s e r v e	0.05770379304885864	0
m a n i f e s t e r	m a n i f e s t e r	0.059191882610321045	0
a p r o é	a p r o é	0.06102219596505165	0
v o l e i s	v o l e i s	0.05710414797067642	0
p r u i b e s c	p r u i b e s c	0.05909273400902748	0
a d a t e i s	a d a t e i s	0.05989939719438553	0
d e f r e n z i o v a n	d e f r e n z i o v a n	0.059334106743335724	0
r e u r g a n i s e	r e u r g a n i s e	0.059239570051431656	0
r e s s e r v e i s	r e s s e r v e i s	0.057840753346681595	0
s p i d l o v a n	s p i d l o v a n	0.06101519614458084	0
a c u r d e i a	a c u r d e i a	0.06207124888896942	0
s c r i v e	s c r i v e	0.0585215725004673	0
p e r d u j a r a s	p e r d u j a r a s	0.061906598508358	0
c o o r d e n a s s e	c o o r d e n a s s e	0.05976670980453491	0
n e v e s s a	n e v e s s a	0.056247975677251816	0
p r e j e n t e a	p r e j e n t e a	0.06194485351443291	0
c o m u n i c h e	c o m u n i c h e	0.061847835779190063	0
p r o d u j e d e	p r o d u j e d e	0.062376998364925385	0
d e l e g h a s s a i s	d e l e g h a s s a i s	0.05815712362527847	0
m i r a s s e s	m i r a s s e s	0.058304473757743835	0
r e j o n a s s e s	r e j o n a s s e s	0.05937260016798973	0
a r b i t r a s s a n	a r b i t r a s s a n	0.06023731827735901	0
g a u j e i e s	g a u j e i e s	0.05842922627925873	0
u n e s c	u n e s c	0.05822913721203804	0
d e l e g h a r o n	d e l e g h a r o n	0.05995387211441994	0
e n t e n j e i s	e n t e n j e i s	0.060896992683410645	0
a f e r m a r à	a f e r m a r à	0.059715840965509415	0
e n t e n j e s s a n	e n t e n j e s s a n	0.06039794906973839	0
r e u r g a n i s e i e	r e u r g a n i s e i e	0.05915211886167526	0
s c h i v e i s	s c h i v e i s	0.05842497572302818	0
p u r t a s s e s	p u r t a s s e s	0.06209193542599678	0
r e m p l a z a s s a	r e m p l a z a s s a	0.059803396463394165	0
p u r t o n	p u r t o n	0.06636659055948257	0
s c o u t e	s c o u t e	0.06099658086895943	0
r e j o n e s	r e j o n e s	0.06083664298057556	0
u d i s s a n	u d i s s a n	0.06061110645532608	0
c u n z e d e i s	c u n z e d e i s	0.06085996702313423	0
r e d u j a r à	r e d u j a r à	0.06246131658554077	0
d e s t u m o v e s	d e s t u m o v e s	0.06143874302506447	0
d e p e n j e s s e	d e p e n j e s s e	0.059295903891325	0
d e l e g h o n	d e l e g h o n	0.060120318084955215	0
d e s g o r j o v e	d e s g o r j o v e	0.05873281881213188	0
d e l i b r a r e i s	d e l i b r a r e i s	0.058957356959581375	0
f u r m o n	f u r m o n	0.06305738538503647	0
g a r a n t i e i s	g a r a n t i e i s	0.058971162885427475	0
s o m e t e s	s o m e t e s	0.0594959557056427	0
v i u l e s	v i u l e s	0.058954399079084396	0
c o o r d e n o v a	c o o r d e n o v a	0.06114927679300308	0
e n t e n j a r à	e n t e n j a r à	0.06154932826757431	0
c a p i o n	c a p i o n	0.061071038246154785	0
r e j o n e i s	r e j o n e i s	0.06049911677837372	0
p r u i b e	p r u i b e	0.061001427471637726	0
p r u f e s s o v e s	p r u f e s s o v e s	0.05936123803257942	0
a p l i c h o v a	a p l i c h o v a	0.06125509738922119	0
c o o r d e n o v a	c o o r d e n o v a	0.061181340366601944	0
d e p e n j o v e s	d e p e n j o v e s	0.06048666313290596	0
u n	u n	0.06188419833779335	0
a z e r t e i e	a z e r t e i e	0.058913297951221466	0
s e c u e s t r a	s e c u e s t r a	0.05997341871261597	0
a t u e i a	a t u e i a	0.06041685491800308	0
o n j a r e i s	o n j a r e i s	0.05932312458753586	0
r e v e r e s c e	r e v e r e s c e	0.057353854179382324	0
d e t e r m i n e d e	d e t e r m i n e d e	0.06044486165046692	0
r e s t e i a	r e s t e i a	0.06059142202138901	0
d e s t i n a s s a i s	d e s t i n a s s a i s	0.059016190469264984	0
a l e s i r e i e s	a l e s i r e i e s	0.058006033301353455	0
r e s s o l v a	r e s s o l v a	0.058042362332344055	0
t r a m u d e i e	t r a m u d e i e	0.06294156610965729	0
n a s c e s	n a s c e s	0.05869031324982643	0
c o o r d i n o v a n	c o o r d i n o v a n	0.06124872341752052	0
c o r o m p o v e s	c o r o m p o v e s	0.06104914844036102	0
s t i p u l e i s	s t i p u l e i s	0.061623431742191315	0
r e z e v e d e	r e z e v e d e	0.05720919370651245	0
g i u d i c h o v a i s	g i u d i c h o v a i s	0.059210725128650665	0
n d i c h o n	n d i c h o n	0.06244921684265137	0
u d	u d	0.06045840308070183	0
p r u i b i v e	p r u i b i v e	0.06004204973578453	0
r e s u l t a s s e s	r e s u l t a s s e s	0.06064585968852043	0
t r a s f e r i s s a i s	t r a s f e r i s s a i s	0.05863193795084953	0
p o p u l e d e	p o p u l e d e	0.06302085518836975	0
r e p r e j e n t o v a	r e p r e j e n t o v a	0.06222278252243996	0
d e l i b r e i a	d e l i b r e i a	0.05873137712478638	0
r a t a s s a n	r a t a s s a n	0.06098492816090584	0
m p a r t e s c e	m p a r t e s c e	0.06067994236946106	0
a c r e d i t a s s e s	a c r e d i t a s s e s	0.05953957512974739	0
m p a r t i r à	m p a r t i r à	0.0630430355668068	0
a c u r d e a	a c u r d e a	0.062593013048172	0
a c r e d i t e i s	a c r e d i t e i s	0.06051668897271156	0
j o n j a r e i s	j o n j a r e i s	0.05993983894586563	0
t r a m u d e i a	t r a m u d e i a	0.06284414231777191	0
s e g u r a s s a i s	s e g u r a s s a i s	0.05834337696433067	0
a d a t o v a i s	a d a t o v a i s	0.05946635082364082	0
a d a t e i e	a d a t e i e	0.059314168989658356	0
s t o r j e s	s t o r j e s	0.06069336459040642	0
l i t a	l i t a	0.0590900257229805	0
d e s l i a s s e s	d e s l i a s s e s	0.05796027183532715	0
p r o n u n z i o v e s	p r o n u n z i o v e s	0.0611063577234745	0
a p l i c h a s s e s	a p l i c h a s s e s	0.05966014787554741	0
r e m p l a z o v a	r e m p l a z o v a	0.06070105731487274	0
s e u r a n d a r a s	s e u r a n d a r a s	0.05998170003294945	0
d e j ë u j a s s a n	d e j ë u j a s s a n	0.060218557715415955	0
d e s t u m a s s a	d e s t u m a s s a	0.060895584523677826	0
a f e r m e s	a f e r m e s	0.058972522616386414	0
a p r o e i a	a p r o e i a	0.06001216173171997	0
r e s s e r v e s	r e s s e r v e s	0.057966601103544235	0
t r a s f e r i r o n	t r a s f e r i r o n	0.060094255954027176	0
a u t o r i s a r à	a u t o r i s a r à	0.060368895530700684	0
c o g n o n	c o g n o n	0.06106004863977432	0
m a n i f e s t a	m a n i f e s t a	0.058681290596723557	0
r a t i f i c h a r à	r a t i f i c h a r à	0.06032171845436096	0
p u r t e s	p u r t e s	0.06488510221242905	0
f r a n j a r à	f r a n j a r à	0.06073722615838051	0
d e l i b r e s	d e l i b r e s	0.05912129208445549	0
e r j e s s a	e r j e s s a	0.058494288474321365	0
r e s p u e n d a s s a	r e s p u e n d a s s a	0.060776032507419586	0
c o m u n i c h e i a	c o m u n i c h e i a	0.061158258467912674	0
m u t i v a s s a n	m u t i v a s s a n	0.06031982600688934	0
p a r t e z i p o v a i s	p a r t e z i p o v a i s	0.060535021126270294	0
e s e r z i t e	e s e r z i t e	0.05792346969246864	0
a c u r d a	a c u r d a	0.06328640133142471	0
r e s s o l v a r é	r e s s o l v a r é	0.058464158326387405	0
e r j e	e r j e	0.06055797263979912	0
r e s p u e n d o n	r e s p u e n d o n	0.06283208727836609	0
s c h i v o v e s	s c h i v o v e s	0.05831819772720337	0
d e t l a r e r	d e t l a r e r	0.06124391034245491	0
n d i c h e i s	n d i c h e i s	0.060936570167541504	0
n j i n i a s s a i s	n j i n i a s s a i s	0.058277279138565063	0
r e v e r i r e i s	r e v e r i r e i s	0.05852942168712616	0
s c o u t e i e	s c o u t e i e	0.060022637248039246	0
c u n d a n o n	c u n d a n o n	0.06377959251403809	0
f i n a n z i e d e	f i n a n z i e d e	0.05732887610793114	0
d é	d <UNK> r	3.147433042526245	2
p e r d u j o v a	p e r d u j o v a	0.06278517097234726	0
a r e s t a r à	a r e s t a r à	0.06156527251005173	0
s c u r t a r e i s	s c u r t a r e i s	0.0617702342569828	0
a u s s e s s e s	a u s s e s s e s	0.05671178549528122	0
r e s s e r v o v a	r e s s e r v o v a	0.05804843083024025	0
p o r t e i e	p o r t e i e	0.062267158180475235	0
a r j o n j e s s a	a r j o n j e s s a	0.05944586917757988	0
d e f r e n z i a r a s	d e f r e n z i a r a s	0.05802527815103531	0
