prediction	target	loss	dist
č a g a r i l e s a i	č a g a r i l e s a i	0.09831265360116959	0
s a g e d o i h e	s a g e d o i h e	0.04945112019777298	0
l a i n d u s e l e s a i	l a i n d u s e l e s a i	0.09311087429523468	0
r i d o i l e p ä i	r i d o i l e p ä i	0.10771818459033966	0
k ü l ’ m e n z o i t t a	k ü l ’ m e n z o i t t a	0.04867745190858841	0
a l l e r g i ž e n	a l l e r g i ž e n	0.11273286491632462	0
a v t o z a v o d o i n	a v t o z a v o d o i n	0.05155051499605179	0
k o n s o n a n t o i l e p ä i	k o n s o n a n t o i h e p ä i	0.11183218657970428	1
p a k s s i l ’ m ä i ž e n n o k s	p a k s s i l ’ m ä i ž e n n o	0.09655123203992844	2
a r m a h t u z k ä s k ö k s	a r m a h t u z k ä s k ö k s	0.04945768788456917	0
k e h u m i ž i l e p ä i	k e h u m i ž i l e p ä i	0.09375842660665512	0
ü m b r i š t o d m e	ü m b r i š t o d m e	0.05082724988460541	0
s a u v o n d a n n o p ä i	s a u v o n d a n n o p ä i	0.05189250782132149	0
n e r v a k a h a n k e	n e r v a k a h a n k e	0.051305241882801056	0
a n t i b i o t i ž i š p ä i	a n t i b i o t i ž i š p ä i	0.052080534398555756	0
p l o d u k a h i d	p l o d u k a h i d	0.050932884216308594	0
a l ’ u m i n i ž e h e	a l ’ u m i n i ž e h e	0.04963645711541176	0
ä n e s t u z l a u d k u n d a n	ä n e s t u z l a u d k u n d a n	0.04915786534547806	0
k a n g a z k o d a l e s a i	k a n g a z k o d a l e s a i	0.08731545507907867	0
t a r i č i j o i l p ä i	t a r i č i j o i l p ä i	0.052488625049591064	0
s u r e n d e l n u i ž i m o i š	s u r e n d e l n u i ž i m o i š	0.050743043422698975	0
s u l a s o l i l e s a i	s u l a s o l i h e s a i	0.11165975034236908	1
m u n a p a k u š a n	m u n a p a k u š a n	0.0957661047577858	0
g e r b a r i j o i d e n k e	g e r b a r i j o i d e n k e	0.05178069323301315	0
t a r i n o i č i ž i	t a r i n o i č i ž i	0.05098738148808479	0
k o r m a s t a i ž i m	k o r m a s t a i ž i m	0.05164521187543869	0
ä i k e r d o i č e n d a d m e	ä i k e r d o i č e n d a d m e	0.04925064370036125	0
k o p i r u i ž i b a	k o p i r u i ž i b a	0.05274360254406929	0
i č e v a l i č e n d l a u k o i l e	i č e v a l i č e n d l a u k o i l e	0.05012677237391472	0
o z u t e l u z m a t e r i a l a h a	o z u t e l u z m a t e r i a l a h a	0.050412796437740326	0
l ü p s a j i k š	l ü p s a j i k š	0.04976955056190491	0
k a l h i d e n n o k s	k a l h i d e n n o k s	0.09329100698232651	0
e l o n a i g a i ž e d	e l o n a i g a i ž e d	0.05008212476968765	0
b u t u š t e l e n d o i d	b u t u š t e l e n d o i d	0.05107533931732178	0
s i s t e m i n	s i s t e m i n	0.04847721755504608	0
e d a h u z i h e	e d a h u z i h e	0.04826663061976433	0
p o l ’ v a u m i č e s e n	p o l ’ v a u m i č e s e n	0.05051783099770546	0
t e d o n t a h t o i ž e l e	t e d o n t a h t o i ž e l e	0.05167002230882645	0
v a r u t u z z n a m	v a r u t u z z n a m	0.05082328990101814	0
n i i d	n i i d	0.04634309560060501	0
v a u g i š t u z j a u h o i l	v a u g i š t u z j a u h o i l	0.05194656178355217	0
s o g e d a i ž i d e n k e	s o g e d a i ž i d e n k e	0.050017036497592926	0
o s o k h e i n ä l e p ä i	o s o k h e i n ä l e p ä i	0.08618370443582535	0
a r g e s t a m i ž e d	a r g e s t a m i ž e d	0.05075669288635254	0
r i n d a t a n u i ž i d	r i n d a t a n u i ž i d	0.05158580467104912	0
o n g e n	o n g e n	0.047840267419815063	0
k o u m e v o č č i d	k o u m e v o č č i d	0.05118867754936218	0
b a k t e r i o l o g i ž e n n o k s	b a k t e r i o l o g i ž e n n o k s	0.08050761371850967	0
s ü n n o p ä i	s ü n n o p ä i	0.05093942955136299	0
a v t o z a v o d o i d e n n o k s	a v t o z a v o d o i d e n n o	0.09840251505374908	2
l ü h ü d a i g a i ž e n	l ü h ü d a i g a i ž e n	0.05047858878970146	0
k u š t n u i ž i d	k u š t n u i ž i d	0.05100049078464508	0
p a h e n z u i ž i t	p a h e n z u i ž i t	0.05064431205391884	0
d ö l d a d	d ö l d a d	0.04720819741487503	0
o z r a ž n i k a l e s a i	o z r a ž n i k a l e s a i	0.0893070325255394	0
k i d ž u d	k i d ž u d	0.05278584361076355	0
p a i n u s e k s	p a i n u s e k s	0.049130745232105255	0
ü k s ’ z n a m a s i ž e n	ü k s ’ z n a m a s i ž e n	0.04740400239825249	0
u d i š t a m i ž i d e n n o k s	u d i š t a m i ž i d e n n o k s	0.08311490714550018	0
v o i d a m	v o i d a m	0.05569884926080704	0
p e h m d u g h a	p e h m d u g a h a	0.13966040313243866	1
b u r a h t a m	b u r a h t a m	0.0542515330016613	0
m a n z i k ž o m i š	m a n z i k ž o m i š	0.04737044870853424	0
t a u t o i d e n	t a u t o i d e n	0.052228689193725586	0
a v o i n ’ s u n	a v o i n ’ s u n	0.050118934363126755	0
t o h u s e n p i d i m i l p ä i	t o h u s e n p i d i m i l p ä i	0.051113005727529526	0
k e l l o t u s e d	k e l l o t u s e d	0.050538696348667145	0
m i l l i l e p ä i	m i l l i l e p ä i	0.10505502671003342	0
k a l ’ l ’ o l	k a l ’ l ’ o l	0.04897389933466911	0
