prediction	target	loss	dist
j a a	j a a	0.06650038063526154	0
d u e e	d u e e	0.06865127384662628	0
ŋ m a a e e	ŋ m a a e e	0.06606238335371017	0
ŋ m ɔ ɔ	ŋ m ɔ ɔ	0.0677894577383995	0
f a l a e e	f a l a e e	0.06836013495922089	0
s e l e	s e l e	0.06720032542943954	0
l ɛ m ɔ e e	l ɛ m ɔ e e	0.0700121596455574	0
k a i e e	k a i e e	0.06778237968683243	0
t s i n e	t s i n e	0.06946354359388351	0
b ɛ ɛ	b ɛ ɛ	0.06698261946439743	0
n u u	n u u	0.06623730063438416	0
k w ɛ	k w ɛ	0.06629058718681335	0
b a a m ɛ	b a a m ɛ	0.06700002402067184	0
w o	w o	0.06607026606798172	0
b a a ŋ m ɔ	b a a ŋ m ɔ	0.06828968226909637	0
ŋ t a a	ŋ t a a	0.06712006032466888	0
h i a e e	h i a e e	0.06905263662338257	0
ŋ n u	ŋ n u	0.06847617030143738	0
t s w a e e	t s w a e e	0.06845007836818695	0
ŋ h e	ŋ h e	0.06805357336997986	0
w a k o	w a k o	0.06777322292327881	0
m ɛ	m ɛ	0.06475339084863663	0
ŋ y a	ŋ y a	0.06831634789705276	0
f o e e	f o e e	0.06696070730686188	0
d i k i	d i k i	0.06891117990016937	0
ŋ y e   n k u n i m	ŋ y e   n k u n i m	0.06596128642559052	0
b a	b a	0.06904173642396927	0
ŋ ŋ a	ŋ ŋ a	0.06719658523797989	0
b l ɛ e e	b l ɛ e e	0.06938982754945755	0
b a a k p ɛ t ɛ	b a a k p ɛ t ɛ	0.06709109246730804	0
d i k i e e	d i k i e e	0.06905168294906616	0
b a e e	b a e e	0.0690891295671463	0
t a a	t a a	0.06702413409948349	0
ŋ f o	ŋ f o	0.06722001731395721	0
b a a k a f o	b a a k a f o	0.06680285185575485	0
b a e e	b a e e	0.06910018622875214	0
k p ɛ t ɛ e e	k p ɛ t ɛ e e	0.06748126447200775	0
s e l e e e	s e l e e e	0.06772841513156891	0
j e	j e	0.06660038977861404	0
ŋ h ɔ ɔ	ŋ h ɔ ɔ	0.06921608746051788	0
b a a b o	b a a b o	0.06822950392961502	0
b a a y a	b a a y a	0.06846915930509567	0
b a a f a a	b a a f a a	0.06712768226861954	0
