prediction	target	loss	dist
p r e s u p ó n	p r e s u p ó n	0.06308441609144211	0
r e c o ñ e c e d e s	r e c o ñ e c e d e s	0.06490329653024673	0
d i f e r e n c i a r	d i f e r e n c i a r	0.06788616627454758	0
d i r i x i u	d i r i x i u	0.06327183544635773	0
c o m p o ñ a d e s	c o m p o ñ a d e s	0.06526575237512589	0
e s c o l l e s e s	e s c o l l e s e s	0.06500420719385147	0
o b r i g a r a n	o b r i g a r a n	0.06950291991233826	0
p a r t i r m o s	p a r t i r m o s	0.07052934169769287	0
a n d a r o n	a n d a r o n	0.07140829414129257	0
c o n d u c i a d e s	c o n d u c i a d e s	0.06611045449972153	0
e v o c a r e d e s	e v o c a r e d e s	0.06741883605718613	0
m e l l o r a r	m e l l o r a r	0.06941661983728409	0
t r a n s p o r t a r m o s	t r a n s p o r t a r m o s	0.07104440778493881	0
a t e m o s	a t e m o s	0.06680214405059814	0
a u x i l i a r í a s	a u x i l i a r í a s	0.06631536036729813	0
e n t r e t i ñ a n	e n t r e t i ñ a n	0.06421059370040894	0
i r á	i r á	0.06679603457450867	0
e n t r a r e n	e n t r a r e n	0.07027917355298996	0
d e f i n e s	d e f i n e s	0.06508390605449677	0
m o d e l a r e d e s	m o d e l a r e d e s	0.06897970288991928	0
u t i l i z a r a s	u t i l i z a r a s	0.06600900739431381	0
a l a g a	a l a g a	0.06731438636779785	0
c h o c h e a r a d e s	c h o c h e a r a d e s	0.06809841096401215	0
c o m p u x e r d e s	c o m p u x e r d e s	0.06610053777694702	0
c o n t e r í a	c o n t e r í a	0.06754262000322342	0
x e r o u	x e r o u	0.06074721738696098	0
p u l i r á	p u l i r á	0.06619096547365189	0
p a r e c e r í a n	p a r e c e r í a n	0.06787801533937454	0
h o m e n a x e a r	h o m e n a x e a r	0.06672433763742447	0
c o m e r a s	c o m e r a s	0.06869694590568542	0
o r a r	o r a r	0.0729459822177887	0
r e s c a t e i	r e s c a t e i	0.06494291126728058	0
a x u d a d e s	a x u d a d e s	0.06648138165473938	0
o r b i t a r	o r b i t a r	0.07075086236000061	0
x a n t a r í a	x a n t a r í a	0.06875897943973541	0
r a z o a d e	r a z o a d e	0.06513268500566483	0
r i a m o s	r i a m o s	0.06511447578668594	0
r e c u p e r a	r e c u p e r a	0.06697703897953033	0
d e s c o m p o ñ a m o s	d e s c o m p o ñ a m o s	0.06617234647274017	0
a p a r e c e r	a p a r e c e r	0.0678328424692154	0
c o n d e n e s	c o n d e n e s	0.06841583549976349	0
o i r í a	o i r í a	0.06431063264608383	0
l a m b e r á	l a m b e r á	0.06654133647680283	0
c e l e b r a r á	c e l e b r a r á	0.0681438222527504	0
r e p o ñ í a	r e p o ñ í a	0.06267425417900085	0
t r i u n f o u	t r i u n f o u	0.06323076784610748	0
e n s u m i r e d e s	e n s u m i r e d e s	0.0660291239619255	0
m o b i l i z a r á n	m o b i l i z a r á n	0.06697048991918564	0
p a g a m o s	p a g a m o s	0.06924324482679367	0
c o c e s	c o c e s	0.06465902179479599	0
a n d a r d e s	a n d a r d e s	0.07131866365671158	0
r e s t r i n x i d e s	r e s t r i n x i d e s	0.0671161562204361	0
r e c o m e n d a s	r e c o m e n d a s	0.06873143464326859	0
r o d e a r e n	r o d e a r e n	0.07022940367460251	0
s o s t e ñ a s	s o s t e ñ a s	0.06244474649429321	0
a t á s e d e s	a t á s e d e s	0.06448161602020264	0
p r o p o ñ e r m o s	p r o p o ñ e r m o s	0.06819740682840347	0
p r e d i q u e s	p r e d i q u e s	0.06344930082559586	0
c h a m a s	c h a m a s	0.06817623227834702	0
c a e d e	c a e d e	0.06430793553590775	0
f e l i c i t e m o s	f e l i c i t e m o s	0.0667850598692894	0
e n s u m a	e n s u m a	0.06406272202730179	0
o r i x i n a r a d e s	o r i x i n a r a d e s	0.06866350024938583	0
x u n g u i m o s	x u n g u i m o s	0.06397213041782379	0
o r b i t a n	o r b i t a n	0.06980781257152557	0
d e i x e	d e i x e	0.06406373530626297	0
b a i x a m o s	b a i x a m o s	0.06781433522701263	0
v i r a r	v i r a r	0.07140469551086426	0
p a r t i r e i	p a r t i r e i	0.06681080907583237	0
t r a n s p i r a s	t r a n s p i r a s	0.06976747512817383	0
t r a s p o ñ a m o s	t r a s p o ñ a m o s	0.06626129150390625	0
t r a n s p o r t a r a n	t r a n s p o r t a r a n	0.07070908695459366	0
a l i s t o u	a l i s t o u	0.06352037191390991	0
c u e s t i o n e	c u e s t i o n e	0.06516345590353012	0
v e r e d e s	v e r e d e s	0.06690919399261475	0
f u x i s e	f u x i s e	0.06012096256017685	0
c a l c i f i q u e n	c a l c i f i q u e n	0.06311588734388351	0
a d o r e	a d o r e	0.06854703277349472	0
p r e s u p o ñ a n	p r e s u p o ñ a n	0.0640898123383522	0
x e r m i n e n	x e r m i n e n	0.06668289750814438	0
p r e s i o n a r e n	p r e s i o n a r e n	0.06514210253953934	0
p r e d i c a r e i	p r e d i c a r e i	0.06665683537721634	0
d e t e r e d e s	d e t e r e d e s	0.06646538525819778	0
l a v a b a n	l a v a b a n	0.0686374232172966	0
a x u d a s e	a x u d a s e	0.06357841193675995	0
e s t o u p a r í a s	e s t o u p a r í a s	0.06740421056747437	0
