prediction	target	loss	dist
r e k ɔ b i s a	r e k ɔ b i s a	0.0653659850358963	0
k ɔ y i e e	k ɔ y i e e	0.06294696778059006	0
n n a   a b ɛ k y i r i	n n a   a b ɛ k y i r i	0.06598633527755737	0
a k ɔ t w e	a k ɔ t w e	0.06394939124584198	0
n n a   r e n y a m	n n a   r e n y a m	0.0623462088406086	0
n n t w a	n n t w a	0.062246162444353104	0
m m a   m m f r a	m m a   m m f r a	0.0579228512942791	0
a b ɛ s u	a b ɛ s u	0.06593545526266098	0
n n a   a n y i m	n n a   a n y i m	0.06195159628987312	0
n n a   a b ɛ k e n k a n	n n a   a b ɛ k e n k a n	0.06204083189368248	0
n n n o m	n n n o m	0.05948017165064812	0
n n a   r e n n h w e h w ɛ	n n a   r e n n h w e h w ɛ	0.06325991451740265	0
m m a   m m b ɔ   m p a e	m m a   m m b ɔ   m p a e	0.05875013396143913	0
m m b ɛ n y i m e e	m m b ɛ n y i m e e	0.06101856008172035	0
n n k ɔ b ɔ	n n k ɔ b ɔ	0.06520254909992218	0
r e n n k ɔ t o w	r e n n k ɔ t o w	0.06534509360790253	0
a m m b ɛ t a r e	a m m b ɛ t a r e	0.0626257136464119	0
n n k ɔ b ɔ   m p a e e	n n k ɔ b ɔ   m p a e e	0.060956597328186035	0
f r ɛ e e	f r ɛ e e	0.058612119406461716	0
n n a   n n k ɔ m a   s o e e	n n a   n n k ɔ m a   s o e e	0.061755888164043427	0
n n n y i m e e	n n n y i m e e	0.060040395706892014	0
r e n n t u   n g u a n	r e n n t u   n g u a n	0.0609181672334671	0
n n a   r e m m b ɛ m a   s o	n n a   r e m m b ɛ m a   s o	0.06278335303068161	0
b ɛ t w e ɔ n e e	b ɛ t w e ɔ n e e	0.06112251803278923	0
n n a   r e b ɔ   m p a e	n n a   r e b ɔ   m p a e	0.06230609491467476	0
b ɛ w o e e	b ɛ w o e e	0.06229860708117485	0
n n a   r e m m b ɛ n y a m	n n a   r e m m b ɛ n y a m	0.06262382864952087	0
a b ɛ p e p a	a b ɛ p e p a	0.05913398042321205	0
a m m b ɛ p ɛ	a m m b ɛ p ɛ	0.061247535049915314	0
n n a   r e k ɔ m e n e	n n a   r e k ɔ m e n e	0.0623289979994297	0
a n n d i   n k o n i m	a n n d i   n k o n i m	0.061141688376665115	0
n n a   r e m m b ɛ s u	n n a   r e m m b ɛ s u	0.06466136872768402	0
m m a   m m f o w	m m a   m m f o w	0.05817991495132446	0
m m a   n n t u   n g u a n	m m a   n n t u   n g u a n	0.05973773077130318	0
m f o w	m f o w	0.05790679529309273	0
b o r o	b o r o	0.06466475129127502	0
a m m b ɛ p i a	a m m b ɛ p i a	0.061571307480335236	0
n n a   n n k ɔ s u o   m u e e	n n a   n n k ɔ s u o   m u e e	0.0634051039814949	0
n n a   m m b o r o e e	n n a   m m b o r o e e	0.061801373958587646	0
n n k ɔ h i a	n n k ɔ h i a	0.06525769829750061	0
m m a   n n t w e r ɛ w	m m a   n n t w e r ɛ w	0.06113845482468605	0
a b ɛ p i a	a b ɛ p i a	0.06300202757120132	0
b ɛ h w ɛ e e	b ɛ h w ɛ e e	0.06342907249927521	0
k ɔ b ɔ   m p a e	k ɔ b ɔ   m p a e	0.061170946806669235	0
n n k ɔ s u m a e e	n n k ɔ s u m a e e	0.06195029243826866	0
n n a   r e b ɛ b o r o	n n a   r e b ɛ b o r o	0.06589830666780472	0
n n k ɔ w i e e	n n k ɔ w i e e	0.06275694817304611	0
g y e	g y e	0.059256549924612045	0
