prediction	target	loss	dist
s c h i n c a s i	s c h i n c a s i	0.06787756830453873	0
s p a r a g n ò n	s p a r a g n ò n	0.06792811304330826	0
o x é	o x é	0.06425623595714569	0
t r i n c a r ì a	t r i n c a r ì a	0.07039355486631393	0
p o n t e	p o n t e	0.0706942155957222	0
a p r o v a r i s i	a p r o v a r i s i	0.06917160004377365	0
p e s t a v a	p e s t a v a	0.07031303644180298	0
a n o v e r i	a n o v e r i	0.06851306557655334	0
r e m e n a v i	r e m e n a v i	0.06942588835954666	0
p a s a r ì s i m o	p a s a r ì s i m o	0.0695003867149353	0
s a v a r i é	s a v a r i é	0.06749910861253738	0
s e m e n é m o	s e m e n é m o	0.06903942674398422	0
d e s g o z a r è	d e s g o z a r è	0.06888813525438309	0
i n p i z a s e	i n p i z a s e	0.0679251104593277	0
s u g h é m o	s u g h é m o	0.06730873882770538	0
g ò d é s i m o	g ò d é s i m o	0.06372739374637604	0
s p u a s i	s p u a s i	0.07069350779056549	0
m e n é m o	m e n é m o	0.06810705363750458	0
c a t a v i	c a t a v i	0.06979615986347198	0
m a n d o n e	m a n d o n e	0.06725208461284637	0
c o s o ł o n e	c o s o ł o n e	0.06742682307958603	0
a m a r è	a m a r è	0.06808582693338394	0
t o p é m o	t o p é m o	0.06855712085962296	0
s o s t i t u i r ì a	s o s t i t u i r ì a	0.06951863318681717	0
c u è r z é v i m o	c u è r z é v i m o	0.06502695381641388	0
s v e j a s i	s v e j a s i	0.06877678632736206	0
v o l t é m o	v o l t é m o	0.0676121786236763	0
a r a	a r a	0.0711466372013092	0
p o r t a s i	p o r t a s i	0.0712803304195404	0
p ó n x é s e	p ó n x é s e	0.06398911029100418	0
a m e t a	a m e t a	0.06986402720212936	0
m i t i	m é t i	0.7690499424934387	1
s t u x a	s t u x a	0.07186084240674973	0
c u r o n e	c u r o n e	0.06740449368953705	0
s a c h e g i é	s a c h e g i é	0.06614037603139877	0
t e s t i m o n i a r ì a	t e s t i m o n i a r ì a	0.06949766725301743	0
i n p i z é m o	i n p i z é m o	0.06688717752695084	0
i n v e ł e n é m o	i n v e ł e n é m o	0.06752651184797287	0
s f r i x ò n	s f r i x ò n	0.06578914821147919	0
p i a n t e	p i a n t e	0.06957496702671051	0
i n v a d e	i n v a d e	0.06670040637254715	0
r e m e n a r	r e m e n a r	0.0698591098189354	0
s l i s e g a r i s i	s l i s e g a r i s i	0.0691283568739891	0
r o s t i s a	r o s t i s a	0.06857525557279587	0
m a n d é	m a n d é	0.06684472411870956	0
i n v e n t à v i m o	i n v e n t à v i m o	0.06708995997905731	0
s g u a r a t i	s g u a r a t i	0.07026539742946625	0
s t u a v i	s t u a v i	0.07060731947422028	0
a m e t a r ò	a m e t a r ò	0.0677560344338417	0
v o x a v i	v o x a v i	0.06858981400728226	0
v a n t a r è	v a n t a r è	0.06966355443000793	0
a r a r	a r a r	0.06988672912120819	0
o b l i g a s e	o b l i g a s e	0.06889377534389496	0
d e s i d a r i s i	d e s i d a r i s i	0.06869061291217804	0
d i v ì d i	d i v ì d i	0.0638255774974823	0
c o v è r z a r ò	c o v è r z a r ò	0.06558723747730255	0
t o p o n e	t o p o n e	0.06737998872995377	0
s a r é	s a r é	0.06817630678415298	0
c r i a s i	c r i a s i	0.06958407163619995	0
d e s c a r g a v i	d e s c a r g a v i	0.0695648267865181	0
n o m i n a s e	n o m i n a s e	0.06917676329612732	0
r e a l i s é	r e a l i s é	0.06715662777423859	0
v é d i v i	v é d i v i	0.06225336343050003	0
s l i s e g o n e	s l i s e g o n e	0.06718890368938446	0
v a n g h e	v a n g h e	0.06716427952051163	0
i n t i v a r à	i n t i v a r à	0.06862536072731018	0
v i s u a ł i x a v i	v i s u a ł i x a v i	0.06802535802125931	0
s p a c ò n	s p a c ò n	0.06602010875940323	0
