prediction	target	loss	dist
t a b a t a	t a b a t a	0.07161300629377365	0
w a k a z v i r a t i d z e	w a k a z v i r a t i d z e	0.07017884403467178	0
m u r i k u f a	m u r i k u f a	0.07235286384820938	0
v a n o c h e m a	v a n o c h e m a	0.07231312990188599	0
m u n o w o n a	m u n o w o n a	0.07216843217611313	0
n d a t e r e r a	n d a t e r e r a	0.0716986432671547	0
w a k a p a	w a k a p a	0.0727718397974968	0
a r i k u r a s a	a r i k u r a s a	0.07036532461643219	0
m u r i k u d a i d z a	m u r i k u d a i d z a	0.07063357532024384	0
a n o b a t a	a n o b a t a	0.07143303751945496	0
u n o s e k a	u n o s e k a	0.0722099095582962	0
t a v h u r a	t a v h u r a	0.07185898721218109	0
u c h a n w a	u c h a n w a	0.07246735692024231	0
a z i v a	a z i v a	0.07023438811302185	0
m a k a m i r i r a	m a k a m i r i r a	0.07054786384105682	0
t a k a u y a	t a k a u y a	0.07239732146263123	0
a k a e n d a	a k a e n d a	0.07271812856197357	0
n d i r i k u d z i d z a	n d i r i k u d z i d z a	0.07115781307220459	0
m a k a m u k a	m a k a m u k a	0.0727105662226677	0
t i c h a t e n g a	t i c h a t e n g a	0.07285341620445251	0
t a k a t u m i r a	t a k a t u m i r a	0.07124597579240799	0
n d a m u k a	n d a m u k a	0.07249440252780914	0
a n o b h u r u r u k a	a n o b h u r u r u k a	0.0709889605641365	0
v a r i k u v h u r a	v a r i k u v h u r a	0.07150433957576752	0
m u n o r w a	m u n o r w a	0.0717669278383255	0
t a k a n g a n w a	t a k a n g a n w a	0.07011575996875763	0
w a v e r e n g a	w a v e r e n g a	0.07138074189424515	0
m u c h a w e d z e r a	m u c h a w e d z e r a	0.07198925316333771	0
m a f a	m a f a	0.07333947718143463	0
a v e r e n g a	a v e r e n g a	0.07147841900587082	0
n d a i m b a	n d a i m b a	0.07151169329881668	0
m u r i k u p a	m u r i k u p a	0.07209944725036621	0
n d a k a n w a	n d a k a n w a	0.07243959605693817	0
m a k a u y a	m a k a u y a	0.07240535318851471	0
a r i k u d y a	a r i k u d y a	0.07191319018602371	0
v a k a s a n g a n a	v a k a s a n g a n a	0.07064911723136902	0
w a n z w i s i s a	w a n z w i s i s a	0.06917863339185715	0
m u n o w a n a	m u n o w a n a	0.07146544009447098	0
m a k a b v u n z a	m a k a b v u n z a	0.07239652425050735	0
w a i m b a	w a i m b a	0.07085327804088593	0
a k a d o n h a	a k a d o n h a	0.07272963970899582	0
m u r i k u k a n g a n w a	m u r i k u k a n g a n w a	0.07041201740503311	0
v a c h a k w a n i s a	v a c h a k w a n i s a	0.07117095589637756	0
w a t o r a	w a t o r a	0.07185517996549606	0
v a r i k u p e d z a	v a r i k u p e d z a	0.07196661084890366	0
m a t e n g a	m a t e n g a	0.07332377135753632	0
t a w e d z e r a	t a w e d z e r a	0.07154121994972229	0
m a k a p e d z a	m a k a p e d z a	0.07282380759716034	0
n d i r i k u k w a n i s a	n d i r i k u k w a n i s a	0.0704166442155838	0
m u r i k u n z w i s i s a	m u r i k u n z w i s i s a	0.06981968879699707	0
v a k a f e m a	v a k a f e m a	0.07345958799123764	0
v a n o z v i r a t i d z e	v a n o z v i r a t i d z e	0.07002202421426773	0
m u c h a p e d z a	m u c h a p e d z a	0.07295625656843185	0
n d i c h a n w a	n d i c h a n w a	0.07212986052036285	0
m u n o v h u r a	m u n o v h u r a	0.07194088399410248	0
w a d y a	w a d y a	0.07245218008756638	0
n d i n o f a m b a	n d i n o f a m b a	0.07174860686063766	0
t i c h a i m b a	t i c h a i m b a	0.07142467796802521	0
a c h a d z i d z i s a	a c h a d z i d z i s a	0.0707797110080719	0
n d i n o g o n a	n d i n o g o n a	0.07175446301698685	0
a n o u r a y a	a n o u r a y a	0.0704619362950325	0
t i r i k u t a n g o	t i r i k u t a n g o	0.07120635360479355	0
a n o v h a r a	a n o v h a r a	0.07106765359640121	0
u r i k u i m b a	u r i k u i m b a	0.07130695879459381	0
w a k a m i r i r a	w a k a m i r i r a	0.07025706022977829	0
t i r i k u e n d a	t i r i k u e n d a	0.07161912322044373	0
w a k a d o n h a	w a k a d o n h a	0.07261922955513	0
v a r i k u f e m a	v a r i k u f e m a	0.07239869236946106	0
a n o f u n g a	a n o f u n g a	0.07225774228572845	0
a t y o r a	a t y o r a	0.07282541692256927	0
t i c h a v h a r a	t i c h a v h a r a	0.07157517969608307	0
m u r i k u z i v a	m u r i k u z i v a	0.07119264453649521	0
v a c h a d o n h a	v a c h a d o n h a	0.0730927586555481	0
a n o f e m a	a n o f e m a	0.07282233238220215	0
m u c h a i m b a	m u c h a i m b a	0.07190857827663422	0
u r i k u b i k a	u r i k u b i k a	0.07108117640018463	0
a c h a b i k a	a c h a b i k a	0.0719585195183754	0
a r i k u t a n g a	a r i k u t a n g a	0.07144265621900558	0
v a k a d z o k o r o r a	v a k a d z o k o r o r a	0.07114268839359283	0
u c h a t s a n a n g u r a	u c h a t s a n a n g u r a	0.0701357051730156	0
a c h a p i n d u r a	a c h a p i n d u r a	0.07115267962217331	0
n d a k a f u n g a	n d a k a f u n g a	0.0727834552526474	0
v a k a v a	v a k a v a	0.07321921736001968	0
t a k a k w a n i s a	t a k a k w a n i s a	0.0708436593413353	0
u c h a s e k e r e r a	u c h a s e k e r e r a	0.07085628807544708	0
m u r i k u r a t i d z a	m u r i k u r a t i d z a	0.07065456360578537	0
t i r i k u p i n d u r a	t i r i k u p i n d u r a	0.0702260211110115	0
