prediction	target	loss	dist
k o t e k a	k o t e k a	0.0743883028626442	0
t i n d i k a k i	t i n d i k a k i	0.07033128291368484	0
y e b a k i	y e b a k i	0.07353850454092026	0
k o y e b a	k o y e b a	0.07541632652282715	0
v a n d i	v a n d i	0.07139208167791367	0
m e m i	m e m i	0.07236025482416153	0
k o y a m b a	k o y a m b a	0.07452592253684998	0
k o b o m a	k o b o m a	0.07390124350786209	0
l o b a k i	l o b a k i	0.07246886938810349	0
k e n d e i	k e n d e i	0.07376231998205185	0
k o m e l a	k o m e l a	0.0747789517045021	0
l i n g a k i	l i n g a k i	0.07233293354511261	0
k o l u k a	k o l u k a	0.07306359708309174	0
k o l a m b a	k o l a m b a	0.07448281347751617	0
k o t e k a	k o t e k a	0.07432226091623306	0
t u n a k i	t u n a k i	0.07354587316513062	0
k o t a n g a	k o t a n g a	0.07486685365438461	0
t e l e m a k i	t e l e m a k i	0.0740811675786972	0
y e b i s i	y e b i s i	0.07305053621530533	0
k o b a l a	k o b a l a	0.07432784885168076	0
k o s a l i s a	k o s a l i s a	0.074024997651577	0
b a l a k i	b a l a k i	0.07236584275960922	0
s a l i s a k i	s a l i s a k i	0.07243585586547852	0
k o l i a	k o l i a	0.07143151015043259	0
m e l a k i	m e l a k i	0.07322179526090622	0
k o k i m a	k o k i m a	0.072701595723629	0
k o s i m b a	k o s i m b a	0.07409846037626266	0
t i n d a k i	t i n d a k i	0.07316409051418304	0
k o l o b a	k o l o b a	0.07415881007909775	0
k o l o b a	k o l o b a	0.07410279661417007	0
k o k o l a	k o k o l a	0.0724351778626442	0
k o s u a	k o s u a	0.07350198179483414	0
k o k o m a	k o k o m a	0.07258342951536179	0
k o k o m a	k o k o m a	0.07246198505163193	0
k a n g i	k a n g i	0.07161590456962585	0
y i b i	y i b i	0.07109639793634415	0
k i m a k i	k i m a k i	0.071711465716362	0
t e l e m i	t e l e m i	0.07399047911167145	0
k o k a t a	k o k a t a	0.07268644869327545	0
s o m b a k i	s o m b a k i	0.07327026128768921	0
k o y e m b a	k o y e m b a	0.0754382312297821	0
p u m b u a k i	p u m b u a k i	0.07334400713443756	0
k o z u w a	k o z u w a	0.07388826459646225	0
k o y i b a	k o y i b a	0.07384456694126129	0
k o t i n d i k a	k o t i n d i k a	0.0722845047712326	0
p e s a k i	p e s a k i	0.07318269461393356	0
