prediction	target	loss	dist
a d z a z o l o w e r a	a d z a z o l o w e r a	0.07215864956378937	0
m u m a i k a	m u m a i k a	0.07555161416530609	0
m u m a w e r e n g a	m u m a w e r e n g a	0.07334250211715698	0
a d z a s a u k a	a d z a s a u k a	0.07375018298625946	0
n d i m a k w a t a	n d i m a k w a t a	0.07397714257240295	0
m u n a s e s a	m u n a s e s a	0.07471625506877899	0
n d i m a m a s u l a	n d i m a m a s u l a	0.07375191897153854	0
n d i d z a b z a l a	n d i d z a b z a l a	0.07399425655603409	0
a n a k h u d z a	a n a k h u d z a	0.07395458966493607	0
m u n a i w a l a	m u n a i w a l a	0.07488994300365448	0
a m a p o s a	a m a p o s a	0.07409071922302246	0
m u d z a y a n k h a	m u d z a y a n k h a	0.07443401217460632	0
n d i m a p e m b a	n d i m a p e m b a	0.07447991520166397	0
a n a p e z a	a n a p e z a	0.0742829293012619	0
a n a k o n d w a	a n a k o n d w a	0.07393068075180054	0
n d i m a t s u t s a	n d i m a t s u t s a	0.0737156867980957	0
a m a y a n k h u l a	a m a y a n k h u l a	0.0734984502196312	0
k u p e m p h a	k u p e m p h a	0.07293572276830673	0
m u d z a b w e r a	m u d z a b w e r a	0.07422176748514175	0
m u n a f u p i k a	m u n a f u p i k a	0.07406505942344666	0
k u b a d w a	k u b a d w a	0.07242327928543091	0
t i m a b i s a l a	t i m a b i s a l a	0.07443547993898392	0
m u m a s a u k a	m u m a s a u k a	0.07441125810146332	0
t i n a m a s u l a	t i n a m a s u l a	0.07375238090753555	0
m u d z a l e k a	m u d z a l e k a	0.07465003430843353	0
a d z a n t c h i t o	a d z a n t c h i t o	0.0730542466044426	0
m u d z a w e r u z a	m u d z a w e r u z a	0.07327871024608612	0
a m a l u m a	a m a l u m a	0.07361160218715668	0
m u d z a c h e n j e r a	m u d z a c h e n j e r a	0.0726010799407959	0
a n a y e r a	a n a y e r a	0.07379411160945892	0
t i m a l a n g a	t i m a l a n g a	0.07355604320764542	0
n d i d z a b a y a	n d i d z a b a y a	0.0736534520983696	0
a m a f u n s a n i	a m a f u n s a n i	0.07139024138450623	0
m u d z a k a m b a	m u d z a k a m b a	0.07453035563230515	0
t i d z a l a n k h u l a	t i d z a l a n k h u l a	0.0732780247926712	0
a m a y a l a	a m a y a l a	0.07422002404928207	0
a n a b w e r a	a n a b w e r a	0.07380002737045288	0
n d i m a m e n y a	n d i m a m e n y a	0.07436311990022659	0
m u n a l a n g a	m u n a l a n g a	0.07375440746545792	0
m u n a m w a	m u n a m w a	0.07502814382314682	0
t i d z a t e m b e n u k a	t i d z a t e m b e n u k a	0.07333831489086151	0
k u t e m b e n u k a	k u t e m b e n u k a	0.07212553918361664	0
a d z a d a	a d z a d a	0.07332967221736908	0
a m a i w a l a	a m a i w a l a	0.07462923973798752	0
a d z a l e k a	a d z a l e k a	0.07420040667057037	0
a n a b o o l a	a n a b o o l a	0.07317296415567398	0
m u d z a t s o g o l a	m u d z a t s o g o l a	0.07307421416044235	0
t i n a i t a n a	t i n a i t a n a	0.07396779954433441	0
a d z a y e r a	a d z a y e r a	0.07367981970310211	0
a d z a g w a	a d z a g w a	0.07388951629400253	0
m u m a y a m b a	m u m a y a m b a	0.0748140960931778	0
k u c h i r a	k u c h i r a	0.07340440154075623	0
m u d z a n y o z a	m u d z a n y o z a	0.07395630329847336	0
k u n a m a	k u n a m a	0.07139209657907486	0
n d i n a k u m b u k a	n d i n a k u m b u k a	0.07327648997306824	0
n d i m a s o n k h a	n d i m a s o n k h a	0.0737992599606514	0
m u d z a i k a	m u d z a i k a	0.07502494752407074	0
t i m a k a l a m b a	t i m a k a l a m b a	0.07376391440629959	0
m u n a k a l a m b a	m u n a k a l a m b a	0.07386622577905655	0
m u d z a g u l a	m u d z a g u l a	0.07362741231918335	0
n d i d z a b a	n d i d z a b a	0.07332701236009598	0
a d z a c h i n y a	a d z a c h i n y a	0.07449688762426376	0
a n a r e r u k a	a n a r e r u k a	0.07287754118442535	0
m u d z a n y e n g a	m u d z a n y e n g a	0.07422111183404922	0
m u m a p i t a n i	m u m a p i t a n i	0.0728771910071373	0
a d z a t s i r i z a	a d z a t s i r i z a	0.07332882285118103	0
m u m a n g ' a m b a	m u m a n g ' a m b a	0.07270239293575287	0
t i d z a m e r a	t i d z a m e r a	0.07414323091506958	0
m u n a y a n d k i r a	m u n a y a n d k i r a	0.07399134337902069	0
k u d y a	k u d y a	0.07175550609827042	0
m u m a t h o k o z a	m u m a t h o k o z a	0.07341481745243073	0
k u k h u d z a	k u k h u d z a	0.07286707311868668	0
