prediction	target	loss	dist
n n o n z e	n n o n z e	0.05421703681349754	0
b u u k a	b u u k a	0.05965735390782356	0
b a f a	b a f a	0.06348314136266708	0
t w a k a k o m a w o	t w a k a k o m a w o	0.0640997663140297	0
t u l y a g a l a	t u l y a g a l a	0.06163422390818596	0
t w a n y w e g e d d e	t u n y w e g e d d e	0.11646566540002823	2
b a n a a w e e r e z a	b a n a a w e e r e z a	0.05963067710399628	0
a l i n d a	a l i n d a	0.05908047407865524	0
n a l o w o o z a	n a l o w o o z a	0.05870938301086426	0
n a a s i s i n k a n a	n a a s i s i n k a n a	0.06350792944431305	0
t u l i k o z e s a	t u l i k o z e s a	0.05844435840845108	0
n d i l a m a g a	n d i l a m a g a	0.05911066383123398	0
a s a l a w o	a s a l a w o	0.06338122487068176	0
w a t a m b u l a	w a t a m b u l a	0.06040630489587784	0
t u l i z i n a	t u l i z i n a	0.05677805840969086	0
m u n a a s a l a w o	m u n a a s a l a w o	0.06215466931462288	0
o n o o y a g a l a	o n o o y a g a l a	0.05890096724033356	0
w a a k a w u l i r i z a	w a a k a w u l i r i z a	0.06186339631676674	0
o y a m b a	o y a m b a	0.05906325578689575	0
n d i v u g a	n d i v u g a	0.05222676321864128	0
o n o o y a m b a	o n o o y a m b a	0.05707265064120293	0
w a a k a k o z e s a	w a a k a k o z e s a	0.06423605233430862	0
a f u l u m a	a f u l u m a	0.05803772062063217	0
a b u u k a	a b u u k a	0.058735769242048264	0
e e r a b i r a	e l a b i r a	0.746152937412262	2
m u y i z e	m w a y i z e	0.18629352748394012	2
t w a k w a a t a	t w a k w a a t a	0.1315668523311615	0
y a y i m i r i d d e	y a y i m i r i d d e	0.05599309876561165	0
b a n a a l a g a	b a n a a l a g a	0.06277555227279663	0
t u n a a y i t a	t u n a a y i t a	0.060661472380161285	0
s i n n a b u u k a	s i n n a b u u k a	0.05711899697780609	0
m u l i m e n y a	m u l i m e n y a	0.05710180848836899	0
t e m u n n a y i m i r i r a	t e m u n n a y i m i r i r a	0.05632389709353447	0
t u k y a t a n d i k a	t u k y a t a n d i k a	0.06152389943599701	0
y i m b a	y i m b a	0.05889191851019859	0
t o n n a y i m i r i r a	t o n n a y i m i r i r a	0.0577644519507885	0
w a l y a	w a l y a	0.06101008877158165	0
m u l i k o z e s a	m u l i k o z e s a	0.05718609318137169	0
y a m a n y a	y a m a n y a	0.07030341029167175	0
n z a n n y a	n z a n n y a	0.06182119995355606	0
b a k y a b e e r a	b a k y a b e e r a	0.06059647724032402	0
t w a y i m b y e	t w a y i m b y e	0.11641768366098404	0
m u b a a w o	m u b a a w o	0.05668194964528084	0
t e m u n n a l o w o o z a	t e m u n n a l o w o o z a	0.09466142952442169	0
a t t a	a t t a	0.06399314105510712	0
b a w a d d e	b a a w a d d e	0.21703754365444183	1
w a n n y o n n y o d d e	w a n n y o n n y o d d e	0.057836346328258514	0
a l y e r a b i r a	a l y e r a b i r a	0.05578397586941719	0
n a a k a d d u k a	n a a k a d d u k a	0.062360502779483795	0
b a n a a n y w a	b a n a a n y w a	0.06400084495544434	0
w a a k a k o m a w o	w a a k a k o m a w o	0.06300047785043716	0
m w a n y w a	m w a n y w a	0.06162654608488083	0
n y o g e r a	n j o g e r a	0.5258437395095825	1
m w a k a l a m a g a	m w a k a l a m a g a	0.0646088644862175	0
m w a g g u l a w o	m w a g g u l a w o	0.0587015375494957	0
n a m a n y a	n a m a n y a	0.0705813318490982	0
o n o o f u u k a	o n o o f u u k a	0.05470393970608711	0
t e t u n n a g w a	t e t u n n a g w a	0.05914575234055519	0
m u k y a l a g a	m u k y a l a g a	0.06033333018422127	0
n a y i g a	n a y i g a	0.06138280779123306	0
b a n a a t w a l a	b a n a a t w a l a	0.06455313414335251	0
t u n a a l a b a	t u n a a l a b a	0.06367114931344986	0
w a w a n d i i s e	w a w a n d i i s e	0.05725866183638573	0
y e t a a g a	y e t a a g a	0.06284507364034653	0
a d d a m u	a d d a m u	0.056610818952322006	0
a l i s a n g a	a l i s a n g a	0.06189928576350212	0
m u y i m i r i r a	m u y i m i r i r a	0.05536245182156563	0
n a a k a k a a b a	n a a k a k a a b a	0.06777899712324142	0
o k y a l a b i k a	o k y a l a b i k a	0.06133800745010376	0
a t w a l a	a t w a l a	0.06328850984573364	0
y a a k a l o n d a	y a a k a l o n d a	0.0630849078297615	0
t e b a n n a s i s i n k a n a	t e b a n n a s i s i n k a n a	0.06167592108249664	0
b a l i r a g a	b a l i r a g a	0.05825726315379143	0
s i n n a l e e k a a n a	s i n n a l e e k a a n a	0.058405496180057526	0
m u l i b u z a	m u l i b u z a	0.05528326705098152	0
n y a n j u d d e	n y a n j u d d e	0.05493617802858353	0
t u k y a w e e r e z a	t u k y a w e e r e z a	0.058977868407964706	0
w a	w a	0.06711268424987793	0
m w a w a n g u l a	m w a w a n g u l a	0.06084210053086281	0
m u n a k k i r i z a	m u n a k k i r i z a	0.05906218662858009	0
a n a a l a g a	a n a a l a g a	0.06372768431901932	0
n d o w o o z a	n d o w o o z a	0.07445232570171356	0
t u l i y i m i r i r a	t u l i y i m i r i r a	0.05633191019296646	0
m w a s o m e s a	m w a s o m e s a	0.05992874503135681	0
m w a k a n y w e g e r a	m w a k a n y w e g e r a	0.061619047075510025	0
n a k k i r i z a	n a k k i r i z a	0.0628838986158371	0
t e b a n n a f u l u m a	t e b a n n a f u l u m a	0.05956212431192398	0
t u n a a k w a t a	t u n a a k w a t a	0.06445180624723434	0
t u s a n z e	t u s a n z e	0.14552319049835205	0
t u b u z i z z a	t w a b u z i z z a	0.1341552883386612	2
b a a t e e s e	b a a t e e s e	0.13884156942367554	0
b a n a a s i t u k a	b a n a a s i t u k a	0.0627254992723465	0
n y a g a l a	n j a g a l a	0.6852747797966003	1
a g a m b y e	a g a m b y e	0.05575687438249588	0
t w a l y a	t w a l y a	0.06292037665843964	0
b a n a a m a l a	b a n a a m a l a	0.06460075080394745	0
t w a l a b i k a	t w a l a b i k a	0.06336531788110733	0
a n a a v u g a	a n a a v u g a	0.060166120529174805	0
n k y a z i n a	n k y a z i n a	0.05957059562206268	0
o n o o b u u k a	o n o o b u u k a	0.055079590529203415	0
n y w e g e r a	n y w e g e r a	0.057887036353349686	0
b a y i m i r i d d e	b a a y i m i r i d d e	0.18178392946720123	1
t u l i m e n y a	t u l i m e n y a	0.05875427648425102	0
t e b a n n a l a g a	t e b a n n a l a g a	0.061808954924345016	0
b a l i k a a b a	b a l i k a a b a	0.06278196722269058	0
o n o o s e k a	o n o o s e k a	0.05786450579762459	0
t e m u n n e t a a g a	t e m u n n e t a a g a	0.05885597690939903	0
n a a k a w u l i r a	n a a k a w u l i r a	0.0637088268995285	0
t w a y o n g e d d e	t w o n g e d d e	0.546325147151947	2
y i m i r i r a	y i m i r i r a	0.0562383271753788	0
t u t u d d e	t w a t u d d e	0.15458188951015472	2
b a a k a k w a t a	b a a k a k w a t a	0.06830111891031265	0
t u n y w a	t u n y w a	0.05829733982682228	0
n a j j u k i r a	n a j j u k i r a	0.05577252060174942	0
t a n n a z i n a	t a n n a z i n a	0.0598779022693634	0
t a n n a d d u k a	t a n n a d d u k a	0.058336041867733	0
l e k a a n a	l e k a n a	0.9094215631484985	1
n a a t e g e e r a	n a a t e g e e r a	0.059513114392757416	0
n a a k o z e s a	n a a k o z e s a	0.06289029866456985	0
t w a k e t a a g a	t w a k e t a a g a	0.06354186683893204	0
o l i d d a m u	o l i d d a m u	0.053395528346300125	0
t e b a n n a k w a t a	t e b a n n a k w a t a	0.06426064670085907	0
s i n n a k o l a	s i n n a k o l a	0.05960820987820625	0
n a l a b i s e   n g a	n a l a b i s e   n g a	0.06415652483701706	0
n f a	n f a	0.060259558260440826	0
b a l i y i m i r i r a	b a l i y i m i r i r a	0.05759270861744881	0
t e b a n n a l e e k a a n a	t e b a n n a l e e k a a n a	0.06474904716014862	0
m u n a a w a n g u l a	m u n a a w a n g u l a	0.05983304977416992	0
y a a k a g g u l a w o	y a a k a g g u l a w o	0.0602252334356308	0
m w a b e e r a	m w a b e e r a	0.05823473632335663	0
w a s e s e	w a s e s e	0.05694583058357239	0
n a g g a d d e w o	n a g g a d d e w o	0.05734368786215782	0
b a a k e b a k a	b a a k e b a k a	0.06740875542163849	0
n a b u u z a	n a b u u z a	0.0572095587849617	0
n s o b o d d e	n s o b o d d e	0.05257214233279228	0
n a b a d d e w o	n a b a d d e w o	0.054298270493745804	0
b a l i b u u k a	b a l i b u u k a	0.05886596441268921	0
m u v u z e	m w a v u z e	0.19073186814785004	2
n a a k a l a g a	n a a k a l a g a	0.0663786232471466	0
m u k y a s i s i n k a n a	m u k y a s i s i n k a n a	0.060554880648851395	0
b a n a a b a a w o	b a n a a b a a w o	0.06159595027565956	0
t w a t e e s e	t u t e e s e	0.16584201157093048	2
a s a n g a	a s a n g a	0.06473613530397415	0
t w a t u n z e	t u t u n z e	0.1532735526561737	2
