prediction	target	loss	dist
l o u h i n d u a	l o u h i n d u a	0.04965322092175484	0
k u b a i d u	k u b a i d u	0.05244338512420654	0
č i ä r y	č i ä r y	0.05009826645255089	0
k u l k u l o i	k u l k u l o i	0.0633866935968399	0
k ä p č i ä	k ä p č i ä	0.0490272156894207	0
p ä i v i k k y ö	p ä i v i k k y ö	0.05072842910885811	0
t ä g ä l ä z i i	t ä g ä l ä z i i	0.04951213672757149	0
i ž ä n d ä t t ö m y t t y	i ž ä n d ä t t ö m y t t y	0.045802727341651917	0
p i ä h e n g i	p i ä h e n g i	0.05127928778529167	0
p i ä t t ä j ö i	p i ä t t ä j ö i	0.08674339205026627	0
t o p p o l i	t o p p o l i	0.05308286100625992	0
m e č ä n h o i d o a l a n	m e č ä n h o i d o a l a n	0.05032792314887047	0
s y d ä m e n t a b u a m i z i i	s y d ä m e n t a b u a m i z i i	0.0498632937669754	0
f a š i z m o i	f a š i z m o i	0.04749602824449539	0
k a p s a u	k a p s a u	0.05420456454157829	0
k o s m o s s u s o v a n	k o s m o s s u s o v a n	0.048859190195798874	0
t a n s i e	t a n s i e	0.051355790346860886	0
k a n a n p o i g i i	k a n a n p o i g i i	0.05130777135491371	0
s e l l y s t y	s e l l y s t y	0.062366943806409836	0
č o n g i h e s	č o n g i h	0.2411644011735916	2
p u l l o l o i	p u l l o l o i	0.05345028638839722	0
p i n d u a	p i n d u a	0.06289216876029968	0
š a g l u a u	š a g l u a u	0.04957163706421852	0
t y ö n n y n	t y ö n n y n	0.04558159410953522	0
k e z o i n i e k k u	k e z o i n i e k k u	0.050736118108034134	0
a h n a h i i	a h n a h i i	0.04895813763141632	0
a z i e l l i s t u	a z i e l l i s t u	0.051131442189216614	0
a i d u v e r i ä l ö i	a i d u v e r i ä l ö i	0.04912421479821205	0
t o i m e k a s t u	t o i m e k a s t u	0.051580265164375305	0
a m m a t t i n e r o z e n	a m m a t t i n e r o z e n	0.050949789583683014	0
o u d u o	o u d u o	0.04791038855910301	0
k ö y h e n t a v v i n	k ö y h e n t a v v i n	0.04856037348508835	0
h a v u h i z e n	h a v u h i z e n	0.05077485367655754	0
b a u g u u	b a u g u u	0.08503378927707672	0
t a l v e l l i n e	t a l v e l l i n e	0.05365581437945366	0
l u o n d o p ä i v i k k y ö	l u o n d o p ä i v i k k y ö	0.05004482716321945	0
s r u u g a t a h	s r u u g a t a h	0.05246906727552414	0
f i z i o t e r a p e v t a n	f i z i o t e r a p e v t a n	0.05108913779258728	0
s u l ’ č i n d u	s u l ’ č i n u a	0.15122070908546448	2
v a r o i t e t a h	v a r o i t e t a h	0.0519065298140049	0
k a t t a v u u	k a t t a v u u	0.053897734731435776	0
s e l ’ l ’ u l o u z u z a v o d a n	s e l ’ l ’ u l o u z u z a v o d a n	0.049717169255018234	0
k a č č o m i s t u	k a č č o m i s t u	0.04906472936272621	0
m e h a n i z u a t o r	m e h a n i z u a t o r	0.05226108059287071	0
h i l l o t a h	h i l l o t a h	0.04974626749753952	0
p o l v i s u k k i i	p o l v i s u k k i i	0.05128605663776398	0
p e l l a s t u s ž i l i e t t i ä	p e l l a s t u s ž i l i e t t i ä	0.05159589648246765	0
a m m a t t i k o m i t i e t t o i	a m m a t t i k o m i t i e t t o i	0.051120467483997345	0
k i l b a h a j a j o i	k i l b a h a j a j o i	0.10061866790056229	0
t a r a t t a u	t a r a t t a u	0.053482625633478165	0
u r a i	u r a i	0.05605326220393181	0
e s t i e t i e k k u	e s t i e t i e k k u	0.051218997687101364	0
t a p o s	t a p o s	0.053545549511909485	0
k i v i m u r e n d e h i i	k i v i m u r e n d e h i i	0.05097010359168053	0
p u i n	p u i n	0.061737991869449615	0
p o s t e l i l o i	p o s t e l i l o i	0.05094605311751366	0
k o z i č č i j a n	k o z i č č i j a n	0.04732305184006691	0
v i e r a s k i e l i z i i	v i e r a s k i e l i z i i	0.05239606648683548	0
y ö	y ö	0.04331919923424721	0
k o r b i v a r o i n	k o r b i v a r o i n	0.05081847310066223	0
k u r i t t o m u s	k u r i t t o m u s	0.05254346504807472	0
n i i t ä t e s t y	n i i t ä t e s t y	0.0493394136428833	0
r i z i n i ä	r i z i n i ä	0.06553816795349121	0
s a m v u a r o i	s a m v u a r o i	0.05258588120341301	0
š a h i z e n	š a h i z e n	0.049125008285045624	0
k i č k a h t u a k s e h	k i č k a h t u a k s e h	0.05288766697049141	0
k u m a r d u k s i i	k u m a r d u k s i i	0.05257462337613106	0
u m b i n a i n e	u m b i n a i n e	0.0503816232085228	0
s y t y t t i ä	s y t y t t i ä	0.049515530467033386	0
p u n o v u u	p u n o v u u	0.05138999968767166	0
y h t e h v e v o n	y h t e h v e v o n	0.04836559295654297	0
v i l l a t o i	v i l l a t o i	0.05381224676966667	0
š u o l i s t u o	š u o l i s t u o	0.05058980733156204	0
k e z ä s i ä n	k e z ä s i ä n	0.05033273249864578	0
l i i n u	l i i n u	0.05196896195411682	0
p l a k e t t u a	p l a k e t t u a	0.05541881173849106	0
m ä t t ä h i k ä s t y	m ä t t ä h i k ä s t y	0.05016009509563446	0
l y y d i l ä s t y	l y y d i l ä s t y	0.04809039458632469	0
b u m u a g a n v a l m i s t u s k o m b i n u a	b u m u a g a n v a l m i s t u s k o m b i n u a t t u a	0.4415633976459503	4
m ä l g i ä n	m ä l l i ä n	0.39356034994125366	1
p e i g o i p o i g a s t u	p e i g o i p o i g a s t u	0.05057159438729286	0
a i g u m u o d u o	a i g u m u o d u o	0.04907255992293358	0
p ö l l ä s t y t ä n	p ö l l ä s t y t ä n	0.05103034898638725	0
p e n d u a	p e n d u u	0.5245866179466248	1
e l g ä i l e h e s	e l g ä i l e h	0.17090755701065063	2
t e h n i e k k i ä	t e h n i e k k i ä	0.04928704723715782	0
